#{"t_start": 1785076013.97606, "env_id": "None"}
r,l,t
-332.1,89,0.043003
-140.95,79,0.125006
-174.65,85,0.452002
-187.65,108,0.586002
-151.2,96,0.734002
-285.05,73,0.821002
-274.7,80,0.945
-296.7,88,1.056002
-385.65,76,1.165001
-234.35,79,1.266007
-310.0,96,1.377005
-151.0,82,1.487003
-280.4,90,1.620006
-144.15,81,1.730002
-148.75,94,1.846999
-304.3,91,1.966002
-217.75,81,2.081003
-182.45,70,2.179999
-149.6,72,2.276007
-93.25,80,2.378002
-124.55,100,2.537
-264.5,85,2.635079
-152.5,68,2.719076
-210.6,95,2.839075
-282.55,76,2.946072
-205.0,73,3.049074
-117.2,100,3.178074
-114.15,79,3.277074
-142.35,86,3.405074
-179.4,88,3.525073
-206.1,84,3.625073
-126.75,93,3.741073
-66.05,98,3.885078
-103.4,96,4.011075
-60.75,84,4.128077
-107.5,80,4.233077
-179.9,83,4.352078
-191.45,88,4.467072
-44.5,84,4.578073
-194.05,80,4.681073
-175.1,71,4.780079
-83.25,110,4.917078
-190.8,72,5.008076
-177.65,101,5.149072
-32.9,73,5.266074
-89.25,81,5.369069
-13.45,83,5.479333
36.8,93,5.612342
-29.65,90,5.739336
-93.35,79,5.837337
-106.2,91,5.948339
3.1,93,6.213342
-169.95,76,6.343338
-90.9,110,6.493337
-23.4,68,6.581341
98.55,90,6.696334
49.95,81,6.816333
-169.15,84,6.920336
61.35,85,7.028338
-81.45,76,7.145346
54.75,76,7.262337
167.7,80,7.370337
84.6,74,7.458335
-13.75,101,7.596338
-46.75,78,7.718337
-119.45,69,7.803333
47.75,64,7.886333
-66.15,80,7.990338
-33.8,86,8.131334
-87.05,87,8.420337
47.95,92,8.541343
14.7,61,8.632864
-121.3,67,8.742862
-20.35,92,8.875867
81.6,87,8.987868
-8.9,71,9.085863
58.8,72,9.218864
25.45,81,9.326866
95.4,86,9.438866
0.4,76,9.535868
146.05,69,9.645878
172.25,65,9.740861
74.1,87,9.853863
124.3,85,9.972865
222.25,96,10.122864
25.55,94,10.258862
71.05,91,10.371867
73.5,89,10.487864
122.95,103,10.635864
99.95,71,10.739865
138.35,78,10.861867
141.2,81,10.970867
-83.4,83,11.102862
98.1,90,11.21986
255.05,73,11.330864
64.5,85,11.451023
290.0,90,11.596092
118.1,80,11.706086
168.1,101,11.843089
13.55,62,11.923087
168.55,88,12.206087
214.0,70,12.314088
247.05,90,12.441091
129.3,70,12.538092
-1.65,80,12.663088
117.3,66,12.757089
116.95,80,12.884087
148.25,86,13.001087
85.35,85,13.149099
154.4,78,13.254092
63.25,72,13.354092
177.5,82,13.48409
179.25,86,13.611083
218.1,70,13.715087
124.1,70,13.806088
107.85,89,13.943087
170.75,90,14.087091
161.1,79,14.195091
242.3,86,14.32209
57.2,71,14.418088
217.65,66,14.522092
233.0,67,14.626629
198.25,82,14.740628
116.75,101,14.879628
222.95,80,15.01263
266.5,86,15.136633
111.0,80,15.25163
118.65,67,15.351633
238.35,92,15.516628
242.0,79,15.62863
236.65,92,15.754629
166.4,75,15.863629
310.3,82,15.99963
215.1,94,16.152628
227.45,87,16.290631
243.15,89,16.426632
262.9,76,16.547629
293.2,86,16.668628
97.4,76,16.776629
233.95,66,16.87663
190.6,84,17.014628
232.55,75,17.132629
264.65,84,17.259629
186.5,81,17.375628
188.8,72,17.511749
190.75,87,17.76081
379.05,77,17.876811
162.25,71,17.976808
304.1,75,18.103809
321.05,84,18.247813
264.6,78,18.354808
202.7,72,18.472811
169.35,71,18.591811
235.8,91,18.733804
200.15,80,18.855809
238.95,88,18.973808
288.1,71,19.109813
354.6,66,19.209816
289.35,86,19.335809
185.9,83,19.447808
292.75,74,19.580808
288.65,73,19.681813
348.8,75,19.800812
349.95,87,19.922808
249.1,89,20.07781
399.4,60,20.178803
280.25,90,20.313809
411.1,71,20.420804
231.5,101,20.59081
321.55,67,20.687298
298.55,85,20.816298
236.3,95,20.945298
241.3,81,21.082295
277.75,80,21.211296
294.45,97,21.357297
228.1,72,21.460294
320.9,58,21.557307
336.3,73,21.681293
333.4,92,21.826292
302.35,80,21.942293
371.7,91,22.090293
220.9,82,22.225292
438.85,96,22.359324
200.8,78,22.471297
339.15,80,22.606295
379.6,81,22.742294
273.2,74,22.855292
265.35,84,22.981294
385.25,89,23.139295
379.25,100,23.299293
315.0,84,23.433297
376.6,89,23.698385
361.65,85,23.861388
322.2,84,23.984382
277.5,95,24.117386
370.8,63,24.219386
451.95,79,24.367387
345.0,72,24.468389
332.05,71,24.592388
404.05,85,24.721385
329.05,83,24.870386
414.4,68,24.975385
404.15,80,25.098386
319.1,85,25.232386
392.35,75,25.384381
337.1,81,25.504388
370.1,73,25.632386
408.4,70,25.751388
321.45,73,25.892387
388.85,85,26.019386
401.4,79,26.151386
387.65,62,26.246383
358.2,78,26.387385
387.15,82,26.519384
416.1,76,26.637908
343.8,77,26.753908
429.45,97,26.935907
396.75,78,27.052906
412.65,71,27.172908
342.2,79,27.298909
354.4,92,27.462903
441.25,83,27.588907
473.6,84,27.728909
440.05,74,27.838908
429.3,78,28.029905
434.1,87,28.170906
435.65,73,28.29191
456.0,95,28.466906
475.5,105,28.650906
436.5,78,28.780904
380.8,68,28.888907
476.75,60,28.98491
350.7,107,29.316906
482.55,86,29.461909
473.9,67,29.573121
444.75,86,29.701126
432.1,83,29.864129
428.5,80,29.999129
489.8,79,30.115123
453.35,105,30.285126
460.15,88,30.441125
443.05,98,30.586126
494.9,76,30.705126
495.4,68,30.804127
477.6,67,30.933122
358.1,70,31.037143
500.0,89,31.187129
480.0,84,31.33313
468.0,90,31.504129
447.4,83,31.63613
447.5,65,31.740126
462.4,80,31.864125
492.15,71,31.999131
491.1,93,32.139126
485.35,93,32.298126
483.9,86,32.427128
490.95,89,32.602121
482.4,99,32.764649
490.95,75,32.885649
499.35,93,33.038646
473.1,96,33.213653
484.05,69,33.322649
433.2,65,33.42965
469.05,102,33.605654
423.55,92,33.770648
481.75,77,33.904645
425.05,65,34.003649
473.1,67,34.12765
463.1,77,34.270647
497.4,74,34.393651
473.65,78,34.528648
480.25,94,34.687657
475.8,85,34.837649
495.55,88,34.988645
498.7,76,35.117648
498.05,90,35.395649
486.35,68,35.527771
463.6,73,35.66985
469.05,88,35.799843
492.95,73,35.908843
471.05,85,36.070841
468.25,84,36.220842
402.45,76,36.355843
463.75,74,36.473839
412.65,66,36.596847
492.8,87,36.762844
457.5,89,36.901841
478.25,91,37.042843
445.5,114,37.253853
407.35,69,37.36287
446.65,84,37.498845
416.55,78,37.625842
426.65,67,37.754842
469.4,100,37.916843
486.35,93,38.059844
495.05,88,38.216841
423.6,69,38.343843
495.55,93,38.500842
482.35,99,38.663842
482.4,93,38.818364
411.4,78,38.956362
414.2,90,39.103364
482.4,83,39.263361
464.05,66,39.373364
456.05,80,39.513361
424.85,73,39.63036
400.45,91,39.787366
449.55,82,39.920362
442.35,83,40.05936
415.5,63,40.166357
482.55,90,40.319366
455.5,77,40.442362
444.7,74,40.579363
486.65,74,40.697363
469.0,82,40.838361
432.9,67,40.952362
376.95,59,41.190373
470.8,87,41.340362
469.05,76,41.461363
448.9,90,41.599469
487.0,84,41.744471
500.0,87,41.903464
500.0,86,42.034473
478.15,81,42.168468
450.6,61,42.274467
411.8,93,42.431468
482.2,78,42.570465
472.0,82,42.705467
458.05,65,42.827469
453.65,89,42.977469
450.1,67,43.093472
442.65,66,43.207465
460.3,79,43.34947
500.0,76,43.53547
458.15,88,43.786472
455.9,82,44.015474
421.65,72,44.170469
466.0,73,44.335471
487.0,105,44.535466
454.0,70,44.664475
455.35,78,44.894995
500.0,81,45.099993
472.7,82,45.308997
446.8,83,45.462997
484.05,75,45.668998
441.7,74,45.808993
460.25,83,45.949999
427.75,67,46.066993
482.2,78,46.212999
478.1,75,46.346005
467.65,89,46.490995
434.85,82,46.634991
443.9,75,46.76999
473.5,85,46.905994
486.35,83,47.039993
485.7,88,47.306991
410.0,68,47.505995
450.0,109,47.708808
440.35,58,47.829813
459.8,115,48.017812
431.25,88,48.20981
486.35,64,48.467811
487.0,101,48.720813
491.1,103,49.044813
469.4,87,49.346814
475.2,67,49.598815
438.05,82,50.15454
415.6,73,50.398829
472.7,55,50.596782
440.25,74,50.843946
471.4,72,51.035306
431.45,96,51.210162
474.15,85,51.384435
464.4,66,51.52043
469.0,86,51.723743
480.7,76,51.917083
447.25,76,52.16458
494.1,70,52.284497
448.2,82,52.419879
500.0,72,52.534243
466.05,90,52.696543
494.75,70,52.831088
467.6,69,52.940203
426.05,81,53.068731
467.05,80,53.220776
487.0,102,53.390848
498.05,94,53.549375
500.0,74,53.699091
478.3,93,53.877636
416.95,77,54.013521
463.4,71,54.13808
460.65,103,54.312144
447.5,76,54.662758
500.0,78,54.800829
390.5,61,54.942369
411.0,70,55.091429
487.0,70,55.275994
459.8,96,55.446035
440.85,63,55.547571
437.4,75,55.701649
453.7,78,55.906728
472.8,74,56.077287
500.0,78,56.271358
455.0,89,56.439434
475.45,74,56.613507
474.0,80,56.758559
477.8,74,56.915652
447.0,85,57.051186
423.9,67,57.252275
454.05,91,57.674436
451.6,77,57.998734
455.0,80,58.205745
449.4,95,58.451677
422.2,77,58.726506
474.0,69,58.937042
427.35,78,59.121791
500.0,73,59.285134
417.15,67,59.399784
460.0,79,59.536777
456.4,90,59.691079
500.0,102,59.894411
393.2,70,60.026856
474.0,82,60.174788
456.0,86,60.370533
469.0,64,60.535067
443.55,83,60.728144
474.0,103,60.93622
442.0,83,61.071292
434.4,66,61.208816
453.4,76,61.474438
443.0,77,61.596982
408.35,78,61.732514
425.8,79,61.867598
482.0,81,62.027129
432.1,96,62.179187
422.75,76,62.313722
451.95,76,62.452266
439.7,74,62.584331
498.7,113,62.767395
438.95,66,62.879955
468.0,72,63.016467
474.55,98,63.185515
481.1,91,63.333048
486.35,58,63.418596
480.05,98,63.610664
410.3,119,63.812433
463.55,90,63.99118
492.3,65,64.091696
450.4,81,64.248245
429.0,90,64.393307
500.0,74,64.529847
470.6,84,64.656873
450.7,101,64.822415
487.0,82,64.969491
456.4,64,65.075019
474.0,99,65.239558
404.55,71,65.399706
455.15,94,65.596778
468.75,81,65.729311
451.0,81,65.867426
468.0,81,66.014967
481.1,97,66.201035
459.7,84,66.33057
473.35,70,66.445114
414.0,79,66.611159
485.05,79,66.741689
446.95,86,66.879746
441.75,98,67.037468
495.4,95,67.346082
436.7,67,67.452624
460.65,86,67.591691
403.95,89,67.743225
428.1,84,67.897291
444.4,70,68.018814
498.05,93,68.180908
439.4,67,68.287433
452.2,103,68.468509
489.7,76,68.613045
428.5,89,68.756588
476.5,85,68.886642
485.7,100,69.072729
443.5,76,69.212275
470.1,72,69.319788
449.4,93,69.475864
484.55,94,69.643396
427.05,81,69.791467
384.35,95,69.952095
435.8,101,70.115163
445.65,91,70.291162
393.25,77,70.425157
424.65,73,70.542163
377.25,69,70.650154
286.7,85,70.816162
290.1,75,70.92816
381.0,67,71.047153
352.5,85,71.190153
383.15,85,71.355157
451.25,72,71.473155
484.4,85,71.619153
419.05,90,71.772157
375.75,94,71.934157
425.35,71,72.054161
426.9,60,72.153157
428.65,118,72.363156
417.1,80,72.499153
427.7,93,72.666155
380.45,109,72.866157
330.2,85,72.999156
446.2,89,73.163674
451.9,84,73.310678
389.2,103,73.490678
393.5,110,73.798674
361.0,104,74.007676
415.35,90,74.157676
345.1,96,74.321676
409.1,106,74.481672
378.75,92,74.641676
440.3,104,74.819677
370.1,124,75.034672
347.25,94,75.197671
408.85,84,75.363672
384.6,120,75.554676
391.85,93,75.705673
389.1,94,75.851678
378.1,101,76.050859
470.1,83,76.192861
346.8,157,76.443862
380.8,109,76.629892
427.6,86,76.796869
390.5,107,76.965858
317.7,132,77.188859
445.55,87,77.332859
400.45,80,77.497866
406.1,119,77.683857
316.7,158,77.926862
390.15,73,78.040862
349.7,102,78.245862
309.95,101,78.403867
315.1,179,78.706858
447.35,61,78.810863
450.55,80,78.980862
353.8,115,79.18113
440.2,103,79.343122
349.15,96,79.490122
440.2,85,79.681122
322.3,85,79.818122
443.55,87,79.964126
321.5,196,80.537124
328.35,152,80.805124
427.3,95,80.963122
435.65,109,81.146142
399.5,78,81.274131
336.9,95,81.452125
429.35,67,81.56113
353.95,103,81.714126
420.05,129,81.928188
404.1,93,82.092229
345.85,184,82.392227
394.0,88,82.540225
371.25,109,82.721229
385.2,71,82.877229
320.7,200,83.194227
379.05,90,83.330225
370.6,100,83.486228
405.9,142,83.747224
356.2,200,84.061232
420.7,92,84.216229
321.65,143,84.453228
382.7,86,84.636228
401.55,88,84.769224
422.5,102,84.92923
355.55,83,85.056434
388.05,86,85.223434
364.0,102,85.387427
378.3,124,85.598423
335.25,107,85.777425
428.0,126,86.047432
426.25,103,86.216422
468.8,98,86.377427
475.95,68,86.483427
338.05,117,86.705428
140.65,147,86.938427
339.0,161,87.200425
445.55,103,87.375425
369.2,120,87.581423
294.65,123,87.77943
