#{"t_start": 1785075375.1548762, "env_id": "None"}
r,l,t
-183.35,73,5.138026
-371.45,87,5.306731
-271.9,75,5.399738
-132.75,74,5.492738
-177.6,101,5.637257
-167.6,89,5.749254
-231.85,88,5.861252
-214.8,96,5.983253
-180.1,93,6.147256
-133.25,75,6.256254
-267.95,78,6.354253
-197.95,85,6.462253
-243.65,87,6.587254
-271.15,98,6.728254
-183.75,86,6.850258
-202.0,81,7.001253
-281.05,93,7.219255
-139.55,72,7.502257
-352.4,103,7.727254
-330.85,103,7.968255
-296.3,106,8.402292
-366.4,100,8.655357
-137.2,65,8.813356
-170.3,92,9.051359
-369.45,119,9.639359
-290.3,95,9.882358
-224.15,126,10.180357
-293.4,135,10.492358
-204.1,122,10.729352
-321.4,140,10.953355
-204.0,132,11.164355
-303.25,130,11.349356
-300.4,148,11.58588
-183.95,77,11.698883
-208.7,62,11.791883
-346.95,186,12.076876
-231.1,165,12.330876
-269.2,200,12.622879
-171.5,54,12.69988
-82.05,25,12.739878
-72.6,14,12.780876
-93.65,66,12.898884
-95.1,27,12.949884
-116.95,55,13.045881
-356.95,200,13.370882
-47.5,12,13.389879
-46.1,10,13.40288
-240.7,92,13.549883
-52.15,20,13.607881
-39.0,7,13.620886
-82.5,29,13.66888
-42.0,9,13.688879
-319.45,200,14.176878
-64.5,13,14.196881
-108.7,27,14.246884
-67.95,30,14.298884
-213.65,71,14.424968
-45.2,21,14.45481
-45.0,13,14.472806
-123.05,54,14.570806
-55.9,17,14.618809
-39.0,7,14.637814
-40.0,8,14.654813
-39.0,7,14.66681
-116.0,70,14.78981
-39.0,7,14.802809
-49.95,37,14.863811
-101.3,33,14.913811
-90.8,22,14.966838
-42.0,10,14.982809
-72.8,40,15.041806
-39.0,7,15.055808
-54.0,14,15.099813
-39.0,7,15.106813
-116.35,41,15.183811
-40.0,8,15.199805
-60.0,21,15.247811
-48.0,13,15.265807
-67.5,26,15.311808
-40.0,8,15.328812
-57.7,34,15.39181
-39.0,7,15.40681
-53.5,19,15.43781
-148.05,65,15.541808
-123.0,29,15.60281
-98.6,39,15.67181
-76.0,37,15.734809
-133.85,70,15.845811
-39.0,7,15.868806
-42.0,10,15.888811
-77.5,41,15.960808
-53.0,18,15.99481
-87.7,19,16.036813
-97.9,41,16.12581
-90.85,45,16.210813
-37.4,14,16.228811
-39.0,7,16.258813
-70.55,28,16.307809
-39.0,7,16.319807
-45.0,13,16.339805
-39.0,7,16.364839
-57.5,21,16.40281
-96.7,25,16.444811
-54.6,26,16.48981
-46.0,14,16.522815
-117.45,49,16.60681
-39.0,7,16.614809
-76.2,26,16.66381
-70.5,28,16.733808
-82.55,58,16.828813
-104.15,57,16.917808
-87.25,27,17.003811
-49.5,14,17.058812
-65.0,16,17.10181
-37.8,12,17.13381
-139.5,49,17.268809
-42.0,9,17.302815
-67.4,12,17.335807
-71.8,27,17.609256
-46.0,21,17.670255
-50.85,13,17.732253
-208.1,72,17.921259
-84.45,33,18.001258
-39.0,7,18.019259
-83.6,42,18.139259
-39.0,7,18.160255
-70.1,33,18.248271
-111.65,58,18.412254
-39.0,7,18.438257
-98.5,61,18.610259
-39.0,7,18.623259
-205.6,102,18.884259
-78.9,29,18.974257
-88.2,27,19.048268
-198.8,78,19.240258
-185.75,77,19.429257
-39.0,7,19.456259
-69.3,14,19.500254
-105.5,38,19.599256
-104.25,29,19.683265
-135.7,59,19.856257
-162.35,73,20.08026
-221.65,106,20.350259
-73.5,30,20.435366
-130.4,35,20.537449
-90.15,32,20.618444
-48.5,16,20.658441
-44.0,12,20.686445
-43.5,10,20.724446
-40.5,10,20.745445
-39.0,7,20.763443
-53.5,17,20.801445
-87.8,39,20.901451
-35.9,12,20.920446
-65.85,23,20.990443
-64.6,24,21.050447
-106.8,45,21.171463
-46.0,12,21.196446
-73.0,33,21.263442
-72.3,32,21.331447
-69.05,26,21.405445
-162.35,67,21.553445
-53.0,20,21.587444
-110.9,43,21.668446
-169.65,74,21.830442
-83.25,38,21.90644
-85.75,47,22.036445
-128.55,69,22.174447
-371.55,200,22.598445
-126.5,60,22.717446
-148.35,82,22.891444
-392.55,200,23.256455
-406.15,200,24.03199
-381.55,200,24.371983
-367.9,200,24.680984
-212.0,81,24.807985
-84.65,27,24.866981
-101.15,45,24.938989
-100.65,42,25.007991
-101.05,41,25.074986
-403.0,200,25.404984
-98.0,46,25.472984
-342.3,200,25.771986
-319.55,200,26.135986
-322.95,200,26.47304
-375.8,200,26.776703
-384.9,200,27.2327
-265.4,200,27.781706
-368.15,200,28.306701
-263.3,200,28.7747
-320.25,200,29.503712
-289.65,200,29.882186
-272.55,200,30.272185
-306.4,200,30.766181
-318.8,200,31.171182
-331.7,200,31.509181
-376.45,200,31.993182
-282.1,200,32.554215
-253.8,200,32.894214
-236.55,200,33.27322
-230.8,200,33.66922
-213.7,200,33.987216
-228.05,200,34.59422
-354.1,200,34.945216
-283.65,200,35.293211
-347.8,200,35.61375
-241.65,200,35.923754
-215.8,200,36.26575
-249.8,200,36.607754
-237.75,200,36.95075
-274.65,200,37.468759
