#{"t_start": 1785076101.919587, "env_id": "None"}
r,l,t
-325.15,76,0.042051
-180.9,81,0.134048
-320.0,94,0.249045
-318.95,79,0.368052
-306.8,67,0.473058
-151.5,87,0.686052
-243.15,75,0.92505
-175.3,79,1.024048
-194.55,100,1.158046
-216.75,91,1.292046
-200.25,92,1.41005
-400.35,89,1.510045
-160.2,98,1.648049
-233.95,96,1.773048
-135.75,98,1.903052
-169.7,70,2.005047
-158.65,100,2.14905
-164.95,80,2.26005
-243.95,94,2.386047
-270.7,81,2.489048
-335.45,109,2.64605
-171.9,89,2.771049
-93.6,96,2.894051
-233.75,88,3.025047
-219.2,84,3.145283
-91.05,77,3.260283
-35.8,85,3.393305
-153.75,82,3.500279
-108.35,76,3.623287
-40.8,83,3.721281
-14.35,76,3.829281
-69.35,93,3.968284
-51.65,90,4.106278
-156.05,120,4.289285
-49.1,98,4.418284
-92.3,91,4.530281
-49.0,78,4.654279
-49.3,91,4.773281
-130.3,91,4.906278
-4.6,81,5.025282
-24.2,96,5.18228
54.9,81,5.302283
31.8,74,5.398281
-99.55,84,5.524284
-156.65,84,5.680277
67.75,80,5.804281
-12.4,98,5.946278
36.0,84,6.07353
-0.05,99,6.230531
55.55,92,6.377532
152.35,74,6.479528
28.95,78,6.586526
37.95,91,6.733528
-33.65,83,6.853529
89.25,84,6.988527
113.65,96,7.12453
77.1,73,7.253529
68.3,80,7.460532
142.3,82,7.656536
55.7,73,7.841531
138.85,93,8.103534
177.75,71,8.272534
216.1,76,8.448529
113.95,89,8.659531
261.45,79,8.873531
136.75,80,9.07453
200.6,72,9.229055
247.05,92,9.398055
172.25,93,9.582056
244.8,90,9.741054
332.1,100,9.903055
262.85,76,10.011056
228.8,80,10.144054
304.55,75,10.281057
309.75,82,10.394052
214.55,85,10.539061
209.0,93,10.817055
289.85,62,10.935059
249.5,73,11.050053
197.0,80,11.16806
313.2,65,11.301055
302.7,73,11.420051
286.1,86,11.548055
322.6,72,11.658058
266.4,86,11.805053
190.95,85,11.927055
220.2,79,12.059175
130.85,78,12.17617
270.5,103,12.344173
254.7,73,12.45817
264.65,66,12.581174
223.35,77,12.699171
299.1,69,12.823167
297.7,109,12.999172
338.05,69,13.125169
250.65,72,13.243176
315.9,101,13.411168
291.95,72,13.532175
388.85,87,13.674178
242.7,97,13.829172
369.95,89,13.985172
384.85,68,14.103171
433.3,96,14.256174
386.45,76,14.36917
355.15,70,14.506174
330.8,79,14.648171
431.35,117,14.827187
442.0,90,14.980169
378.45,83,15.135209
379.35,73,15.269448
485.05,105,15.440445
404.0,82,15.598445
499.35,74,15.75245
482.85,77,15.892446
419.0,65,15.994444
415.7,86,16.174452
459.35,94,16.382447
391.55,81,16.523447
454.1,70,16.639447
455.65,92,16.791447
494.25,93,17.118447
427.1,85,17.255443
475.4,51,17.343452
460.35,66,17.458455
430.2,80,17.609446
424.05,105,17.790451
446.0,77,17.901452
479.35,84,18.049551
435.0,68,18.16663
452.7,81,18.322638
471.7,75,18.454632
476.8,93,18.619632
485.7,65,18.753633
467.0,79,18.870635
445.1,89,19.022637
433.0,88,19.166632
429.35,97,19.355632
484.05,70,19.471637
457.7,82,19.60463
451.95,82,19.796632
500.0,66,19.965636
413.95,81,20.145637
455.35,81,20.29763
473.35,68,20.424633
491.1,97,20.631637
450.0,72,20.761635
424.8,101,20.939639
500.0,87,21.084636
467.7,93,21.27916
409.1,79,21.417161
459.75,67,21.532162
397.9,96,21.697161
433.4,86,21.86616
424.25,71,21.997161
444.1,82,22.131161
444.2,63,22.246165
436.0,96,22.429159
419.05,73,22.549168
439.45,76,22.66716
471.7,91,22.81816
441.65,79,23.151163
487.0,82,23.317165
485.05,90,23.465165
481.9,74,23.589162
433.35,91,23.772161
456.2,79,23.898163
455.9,80,24.021387
480.7,69,24.135515
440.4,75,24.27852
469.05,80,24.421515
410.55,67,24.541516
489.8,63,24.646513
485.05,68,24.772511
459.1,65,24.880517
473.9,84,25.033511
466.15,73,25.172512
438.45,91,25.509517
459.0,67,25.633516
467.0,90,25.797523
446.2,61,25.897518
462.05,87,26.060516
480.0,79,26.206515
426.65,76,26.326526
398.05,57,26.422513
472.7,91,26.610516
486.8,70,26.795519
487.0,82,26.979514
421.3,85,27.156517
500.0,61,27.321034
453.2,77,27.45403
428.65,69,27.57903
440.5,70,27.720036
494.75,67,27.840045
456.1,86,27.975038
457.75,71,28.105047
437.05,56,28.213034
393.65,68,28.339031
456.7,76,28.464035
477.8,78,28.589041
415.0,99,28.754039
443.0,98,28.929032
442.4,90,29.076036
480.0,86,29.370037
487.0,75,29.484033
488.5,75,29.615036
462.5,93,29.775031
467.4,76,29.89704
500.0,69,30.009042
433.8,88,30.166759
468.0,80,30.311761
485.05,117,30.516765
454.35,75,30.653764
476.75,73,30.79876
477.55,82,30.945762
475.8,77,31.070764
458.8,70,31.187763
470.45,78,31.346764
472.0,75,31.468766
436.85,63,31.573759
427.15,74,31.681762
429.15,76,31.831759
473.5,62,31.928764
490.45,87,32.067763
409.0,77,32.187765
396.45,80,32.335763
500.0,71,32.454763
464.75,67,32.575763
428.35,79,32.702767
488.2,81,32.85577
484.55,96,33.017764
458.1,88,33.161763
445.75,78,33.290939
500.0,72,33.439939
495.4,63,33.554939
478.05,92,33.683942
430.05,79,33.808943
471.35,67,33.928948
450.55,88,34.078945
473.6,90,34.236943
432.4,79,34.362942
375.7,85,34.515942
461.9,71,34.639939
464.45,80,34.77594
468.4,81,35.019945
494.75,95,35.237942
451.55,70,35.346944
485.7,66,35.457938
443.4,79,35.582947
423.9,80,35.756939
486.5,79,35.889946
455.9,82,36.021938
454.65,81,36.157121
486.8,70,36.289114
431.4,64,36.393118
500.0,85,36.546115
479.35,90,36.684122
388.1,78,36.826115
432.1,94,36.984115
499.35,66,37.096118
452.55,75,37.213113
480.0,101,37.394113
432.3,79,37.53512
459.1,77,37.667118
468.0,90,37.810117
453.8,91,37.975116
437.0,84,38.138115
428.0,86,38.276115
445.3,84,38.42312
456.55,73,38.574114
490.8,76,38.708123
482.45,98,38.864121
460.15,82,39.006113
460.25,74,39.138115
472.05,74,39.268636
485.7,92,39.426631
466.05,84,39.569632
492.8,74,39.701634
441.1,67,39.808633
478.1,67,39.940629
453.05,69,40.064632
462.25,75,40.207633
410.85,68,40.322632
437.55,66,40.431631
463.4,68,40.550631
421.85,90,40.858632
456.15,83,40.998635
473.65,89,41.15063
475.45,81,41.276637
482.2,76,41.429636
476.15,57,41.531632
498.7,76,41.656628
487.0,73,41.772627
447.25,55,41.871632
451.05,81,42.007643
432.8,74,42.131958
473.35,79,42.26066
428.15,87,42.410657
448.5,105,42.582659
431.4,79,42.701659
472.85,92,42.856659
461.9,69,42.990657
460.45,60,43.096663
480.0,77,43.243659
474.0,79,43.367655
468.7,65,43.483655
464.0,84,43.626658
430.2,69,43.751655
473.65,76,43.879658
468.5,92,44.038653
473.1,84,44.195659
457.4,72,44.316658
415.7,80,44.440655
435.05,85,44.58666
473.65,85,44.742653
479.4,96,44.897657
476.8,87,45.035659
480.0,72,45.167657
487.0,84,45.327174
487.0,76,45.440177
475.15,106,45.613173
380.65,83,45.793179
435.05,97,45.957173
459.35,82,46.092176
498.7,80,46.228177
469.85,90,46.546181
436.1,87,46.690178
487.0,71,46.817177
482.4,86,46.958185
487.0,71,47.104177
467.85,79,47.225178
438.1,70,47.355182
444.75,75,47.466181
479.8,94,47.62919
486.35,92,47.784177
461.0,92,48.039178
426.0,69,48.16314
469.0,76,48.312199
486.0,83,48.462194
464.4,80,48.582212
468.7,89,48.727197
495.55,89,48.906196
436.0,85,49.050194
498.7,86,49.187197
472.95,93,49.337195
489.8,74,49.475194
454.6,101,49.641197
455.2,86,49.776193
492.8,89,49.909194
441.35,82,50.064194
434.0,81,50.2162
482.0,87,50.349197
488.5,57,50.439196
460.35,84,50.596198
445.1,65,50.711201
474.0,75,50.878202
372.0,89,51.063197
487.0,123,51.287716
478.1,58,51.385717
500.0,73,51.506721
458.35,109,51.689711
482.4,77,51.823718
495.55,77,51.961713
466.7,91,52.110711
416.2,74,52.233714
455.0,90,52.399723
432.0,78,52.679715
416.0,70,52.792711
432.65,93,52.936712
432.05,80,53.095719
487.0,106,53.26672
474.0,99,53.416714
440.0,67,53.526711
454.0,83,53.674711
485.05,88,53.841711
480.0,80,53.977717
444.3,65,54.083712
441.5,94,54.265964
469.45,86,54.415959
485.7,92,54.555959
483.1,77,54.683963
457.4,79,54.839959
451.1,76,54.967963
370.8,75,55.093959
405.4,78,55.227964
444.9,74,55.364959
464.6,71,55.480961
452.7,87,55.633963
487.0,72,55.75896
443.4,82,55.922959
456.7,77,56.046964
441.35,77,56.194965
494.15,83,56.326967
495.4,78,56.48196
500.0,89,56.632964
480.45,69,56.741961
495.4,97,56.897963
431.4,81,57.041961
485.7,78,57.182963
411.65,89,57.331397
499.35,80,57.474392
437.4,88,57.638402
441.7,73,57.764389
469.55,87,57.916397
474.0,63,58.018392
442.0,75,58.158392
474.0,85,58.298395
466.35,71,58.425399
485.7,58,58.52841
472.7,102,58.851399
428.8,64,58.956391
467.7,98,59.114393
468.75,87,59.258389
428.0,84,59.421391
499.35,70,59.530393
487.0,93,59.684393
451.0,76,59.800392
465.1,70,59.961393
465.5,76,60.09039
458.5,72,60.231542
469.0,80,60.368544
447.05,68,60.494544
458.7,83,60.634544
469.4,61,60.754549
474.0,86,60.897549
407.95,52,60.993549
429.0,87,61.133545
459.05,82,61.286547
429.1,86,61.415539
461.2,81,61.58154
474.0,79,61.720543
480.7,85,61.865544
441.4,89,62.016543
476.5,81,62.175545
462.0,51,62.277544
482.4,91,62.43755
474.8,75,62.56055
444.15,69,62.68354
498.7,85,62.830544
473.9,71,62.962551
482.05,65,63.075552
453.7,73,63.209542
481.1,75,63.34708
473.35,94,63.515072
487.0,83,63.64808
486.35,77,63.791077
454.0,97,63.958075
456.4,80,64.082075
414.0,94,64.237075
437.0,88,64.401075
429.2,57,64.511074
482.4,93,64.65607
433.05,82,64.781071
492.8,92,65.121077
469.4,73,65.238081
446.05,94,65.401075
402.55,74,65.522072
451.55,78,65.661076
453.35,75,65.80008
462.35,90,65.955071
434.2,79,66.086077
487.0,90,66.255141
458.35,63,66.362141
500.0,90,66.521149
487.0,79,66.65114
461.5,71,66.775149
482.0,79,66.913141
472.45,86,67.067144
429.65,78,67.199143
454.0,83,67.346139
422.55,72,67.471149
487.0,78,67.61814
477.8,98,67.782139
467.0,87,67.948143
482.0,82,68.090138
474.0,75,68.224145
469.0,104,68.384143
428.5,82,68.536142
484.4,94,68.692141
447.35,97,68.836146
487.0,92,68.989139
425.0,62,69.115147
456.4,84,69.29114
459.05,76,69.415658
500.0,96,69.577661
443.0,95,69.754658
487.0,85,69.898657
440.7,73,70.013653
487.0,74,70.137658
477.4,91,70.308652
401.0,74,70.429656
500.0,83,70.571652
468.9,76,70.702658
349.7,66,70.833662
436.0,75,70.951657
439.4,74,71.079652
485.7,73,71.198671
423.15,89,71.502657
500.0,74,71.630653
485.05,98,71.793656
500.0,84,71.922655
498.05,78,72.080656
400.7,81,72.218215
468.1,75,72.333743
471.95,84,72.471743
446.0,90,72.639743
463.1,90,72.79974
487.0,92,72.94576
428.35,83,73.079739
431.55,79,73.235744
479.85,86,73.376749
483.75,86,73.521743
444.55,97,73.676739
425.05,90,73.865744
435.2,79,74.012751
472.7,80,74.184741
467.7,92,74.360748
439.2,85,74.518743
469.0,88,74.66474
474.0,80,74.783749
412.45,79,74.907739
448.0,96,75.077747
500.0,73,75.222745
440.15,67,75.333254
434.7,64,75.439256
459.0,81,75.592252
455.0,111,75.792258
485.15,70,75.905257
498.7,94,76.058258
464.8,88,76.228256
473.35,90,76.391253
450.55,76,76.515255
483.1,83,76.660256
441.0,76,76.812259
451.75,77,76.942262
466.85,86,77.078253
438.0,92,77.239252
432.05,61,77.355258
455.15,92,77.636254
487.0,81,77.77726
462.4,78,77.901254
486.35,99,78.095253
459.8,80,78.223234
480.45,77,78.352294
459.05,87,78.498273
482.4,101,78.683281
438.1,88,78.849274
481.15,83,78.981274
434.9,69,79.086283
461.0,91,79.254293
465.1,74,79.387278
368.55,59,79.478275
458.4,82,79.609291
406.1,70,79.742273
429.4,64,79.860279
498.7,79,79.993282
426.7,73,80.111282
498.05,64,80.239279
427.05,87,80.394274
432.5,74,80.528277
440.45,75,80.648273
469.0,92,80.839273
407.1,84,80.977277
474.0,86,81.113273
450.4,70,81.229273
495.4,62,81.353588
447.4,81,81.489583
430.85,64,81.596579
388.7,73,81.712582
495.4,70,81.849579
462.45,85,81.984581
499.35,72,82.100582
500.0,106,82.273581
459.05,71,82.409579
469.4,114,82.599583
443.55,81,82.72658
464.95,65,82.831579
472.05,80,82.978581
486.35,92,83.145587
389.05,66,83.265584
469.4,85,83.413584
455.0,82,83.694585
469.0,93,83.869586
445.55,69,83.989588
498.05,68,84.089579
429.75,75,84.254284
426.8,83,84.394803
435.0,85,84.543799
455.75,96,84.687804
456.55,92,84.859802
426.85,79,85.003808
443.4,69,85.111809
460.5,106,85.28781
387.0,76,85.421804
485.55,76,85.560802
500.0,87,85.700803
493.1,78,85.848803
467.0,73,85.973802
464.8,73,86.101799
464.8,70,86.263798
440.2,86,86.445803
429.0,95,86.728802
498.7,87,86.933803
469.0,83,87.1468
474.0,86,87.350794
463.9,97,87.555313
481.35,87,87.699315
448.0,83,87.849316
471.05,91,87.993319
472.7,68,88.120313
487.0,82,88.275313
495.4,81,88.415312
450.4,71,88.526314
456.7,76,88.661317
392.0,70,88.779322
452.8,86,88.923319
499.35,90,89.05231
