#{"t_start": 1785071132.7276716, "env_id": "None"}
r,l,t
-370.35,85,4.674023
-223.9,95,4.911491
-344.25,78,5.072419
-93.25,88,5.208225
-120.15,73,5.372179
-48.25,69,5.493182
-123.0,89,5.655932
-322.3,84,5.822144
-236.85,65,5.921499
-105.1,79,6.096123
-48.95,65,6.187984
-328.7,85,6.389091
-323.85,85,6.559862
-181.25,71,6.674226
-159.35,81,6.842112
-165.45,79,6.964195
-120.45,85,7.129928
-208.7,74,7.28333
-248.45,83,7.422382
-137.15,82,7.6001
-260.7,82,7.767098
-228.8,79,7.899086
-196.2,84,8.062076
-197.7,74,8.183169
-209.45,89,8.450305
-381.9,77,8.667038
-104.2,88,8.79244
-297.1,74,8.943255
-94.1,94,9.131521
-98.65,85,9.258258
-202.05,93,9.451506
-254.35,77,9.622078
-132.85,79,9.738484
-233.0,95,9.944867
-186.6,79,10.12254
-207.25,83,10.248919
-249.7,99,10.459105
-112.0,95,10.654351
-313.9,110,10.904977
-192.6,66,11.026872
-177.5,92,11.22323
-196.2,85,11.396116
-222.55,70,11.507123
-209.85,87,11.686228
-233.35,104,11.895874
-243.6,92,12.026879
-241.75,75,12.185531
-206.85,68,12.347883
-295.9,75,12.543871
-271.55,71,12.762292
-316.7,81,12.896045
-144.85,79,13.043247
-250.35,71,13.151289
-151.85,72,13.313236
-95.05,76,13.471496
-206.45,87,13.594094
-205.7,86,13.768028
-154.6,76,13.927986
-103.55,83,14.045999
-295.75,70,14.188097
-409.45,77,14.313705
-247.45,73,14.491527
-218.25,75,14.633337
-226.55,78,14.759823
-120.0,93,14.949995
-229.65,86,15.126021
-250.75,82,15.387968
-285.35,68,15.583174
-159.65,89,15.950128
-261.25,79,16.413151
-338.25,76,17.044191
-134.85,87,17.571554
-134.65,76,17.869953
-270.2,79,18.138572
-55.6,80,18.488049
-154.45,75,18.732438
-297.55,76,18.948513
-216.25,77,19.141377
-271.05,70,19.260112
-273.05,70,19.436232
-331.55,79,19.608307
-323.05,82,19.745226
-349.3,81,19.923879
-183.85,80,20.108057
-288.4,82,20.247266
-236.7,95,20.442291
-177.9,76,20.598035
-155.7,84,20.80511
-165.85,86,21.030281
-196.55,103,21.247476
-130.75,94,21.415128
-285.8,76,21.584989
-295.15,86,21.769489
-165.35,73,21.897258
-172.3,74,22.059333
-145.6,99,22.261533
-261.45,79,22.461766
-156.6,89,22.68028
-146.7,67,22.799008
-181.8,80,22.962516
-307.35,82,23.143903
-103.3,85,23.288128
-128.85,87,23.466112
-265.45,89,23.659128
-262.3,78,23.800247
-245.95,92,23.98832
-255.25,85,24.166412
-147.15,105,24.341542
-159.75,96,24.557062
-174.65,93,24.742529
-147.2,73,24.91523
-150.15,89,25.069045
-243.2,74,25.226605
-139.9,92,25.425094
-195.4,67,25.542099
-132.25,96,25.734235
-223.1,77,25.862295
-225.1,81,26.049791
-147.65,94,26.245152
-238.4,99,26.459146
-168.65,82,26.700047
-277.1,101,27.029983
-208.35,78,27.404007
-224.95,82,27.606061
-160.7,86,27.865326
-173.15,75,28.022557
-199.55,86,28.339999
-190.75,86,28.584754
-207.4,87,28.824868
-175.25,70,28.955946
-160.35,81,29.174035
-243.4,93,29.384131
-109.25,73,29.573266
-162.05,76,29.77695
-207.55,69,29.901499
-110.5,100,30.097595
-126.1,92,30.293686
-368.0,75,30.42027
-308.5,79,30.583306
-181.8,71,30.730829
-201.15,89,30.913912
-175.85,68,31.08004
-187.2,80,31.214573
-145.65,82,31.393968
-100.85,84,31.69852
-162.75,69,31.828072
-322.55,75,31.983174
-112.5,76,32.118707
-245.15,93,32.304797
-123.7,94,32.498906
-222.8,90,32.642482
-135.55,83,32.813455
-318.5,70,32.966647
-139.45,79,33.102854
-180.4,73,33.265471
-137.6,93,33.470469
-146.65,100,33.630484
-231.05,80,33.803471
-246.45,68,33.914486
-182.6,88,34.098475
-97.75,91,34.278476
-213.05,82,34.412479
-150.0,80,34.590484
-131.45,77,34.749506
-248.45,78,34.883482
-314.6,87,35.061476
-172.7,93,35.256476
-230.3,85,35.395484
