#{"t_start": 1785074162.7019098, "env_id": "None"}
r,l,t
-167.8,87,0.175
-277.2,72,0.294002
-303.05,79,0.407001
-223.95,80,0.574997
-317.75,67,0.703004
-323.2,114,0.906995
-184.25,92,1.063998
-178.5,111,1.250998
-105.0,80,1.383997
-252.3,96,1.547003
-162.95,76,1.670995
-189.0,81,1.791
-138.8,73,1.908
-262.0,97,2.062005
-293.45,82,2.175993
-211.3,74,2.301
-251.25,75,2.420001
-108.15,79,2.561011
-269.8,100,2.726093
-190.4,74,2.844095
-158.45,78,2.947094
-197.8,72,3.041097
-136.85,74,3.143094
-190.7,83,3.24209
-192.5,80,3.351098
-78.05,77,3.457098
-251.55,112,3.598092
-144.6,71,3.692094
-230.7,72,3.792099
-136.1,80,3.888095
-223.85,74,3.982096
-81.85,74,4.0761
-115.5,79,4.205093
-119.4,83,4.307094
-199.6,78,4.409094
-145.3,87,4.537098
-228.4,82,4.636099
-22.9,96,4.771094
14.55,73,4.873094
-89.15,81,4.974098
-29.9,89,5.100095
-97.25,70,5.20409
-67.7,83,5.309094
-105.2,103,5.563099
-28.45,72,5.655095
-127.75,100,5.790519
-42.75,91,5.908525
-140.25,90,6.018517
-7.35,81,6.122519
-134.4,88,6.255517
-80.8,83,6.361517
-71.25,98,6.492519
-85.95,89,6.606518
18.75,90,6.717518
-123.85,63,6.809522
-37.9,87,6.934519
-53.2,76,7.035519
-43.85,74,7.133529
-29.65,79,7.239518
-70.1,70,7.334518
-136.8,83,7.480518
-20.7,81,7.580521
-16.2,80,7.682522
-76.4,80,7.775518
-25.3,73,7.883519
-95.4,61,7.96352
27.5,81,8.074513
-84.25,82,8.182518
-116.65,73,8.288517
-75.8,73,8.387519
-12.45,76,8.504513
-72.65,78,8.603461
-80.8,85,8.711214
-21.05,82,8.827204
-76.4,83,8.951212
-100.75,69,9.043204
14.4,92,9.170207
-42.2,97,9.285209
-185.4,96,9.41821
-58.05,76,9.518214
-97.65,76,9.618212
-80.15,78,9.718217
14.9,84,9.836209
-94.95,73,9.93321
-57.95,85,10.050208
18.75,73,10.136209
-45.0,80,10.235204
6.55,91,10.404211
-185.05,87,10.557211
-1.9,84,10.707207
39.9,70,10.810209
12.8,90,10.928204
-91.7,102,11.067212
-76.1,82,11.176208
-23.35,82,11.295214
71.5,76,11.387209
-24.75,78,11.507206
-61.45,76,11.606209
-88.25,69,11.69921
8.5,84,11.800763
-57.85,70,11.901759
65.4,114,12.049763
38.25,98,12.177759
68.9,78,12.293758
40.8,85,12.411757
-27.4,96,12.542759
92.2,103,12.68376
0.65,80,12.794766
-31.1,83,12.893758
-9.6,84,13.015764
-79.95,76,13.121759
-22.75,73,13.216759
12.6,70,13.313759
26.9,67,13.39676
30.4,72,13.495759
18.6,80,13.601759
63.55,76,13.704759
50.7,71,13.79576
-6.1,85,13.907759
17.65,72,14.006763
-67.8,74,14.093761
74.9,68,14.193759
5.6,99,14.346757
-38.85,72,14.457764
89.85,67,14.554759
63.8,83,14.659886
82.95,69,14.759955
-71.8,86,15.182952
-88.25,101,15.312951
124.7,79,15.43795
67.3,103,15.574951
15.7,79,15.682952
96.3,77,15.776951
-16.95,77,15.871955
114.9,63,15.95395
9.85,75,16.052949
52.45,86,16.157953
21.0,71,16.272949
169.9,83,16.37595
3.5,68,16.472954
19.05,91,16.598953
118.55,85,16.71295
66.5,72,16.823951
27.9,66,16.91295
53.2,75,17.000955
-77.45,101,17.12795
89.45,74,17.245954
179.2,85,17.368955
85.35,96,17.486954
126.65,87,17.601954
86.9,106,17.740951
124.75,74,17.839211
44.55,68,17.925212
80.25,85,18.037211
76.75,102,18.17221
4.95,73,18.268214
1.85,73,18.370215
95.0,67,18.47121
-16.05,69,18.572206
32.75,74,18.666216
18.85,93,18.786212
70.25,72,18.882213
105.5,81,18.98821
61.3,69,19.083216
118.55,95,19.210212
73.75,79,19.324212
95.7,92,19.455209
94.8,70,19.544216
166.7,71,19.639214
82.5,68,19.725212
165.65,64,19.802212
95.75,79,19.90521
109.55,83,20.01721
83.9,84,20.127242
141.25,77,20.230211
132.7,79,20.33621
102.65,108,20.483213
238.65,80,20.590212
77.0,69,20.678269
151.55,81,20.788303
152.05,92,20.902302
133.1,100,21.0303
222.5,81,21.138302
152.5,114,21.320304
176.85,77,21.426301
-9.7,75,21.534304
142.15,63,21.618302
132.3,79,21.725299
85.5,73,21.856309
190.8,69,21.945296
135.5,88,22.062306
170.55,82,22.190306
82.45,84,22.311303
148.0,84,22.429303
88.2,88,22.551302
169.3,80,22.670302
132.45,86,22.786299
134.45,87,22.902303
193.15,77,22.998303
92.3,83,23.111306
202.65,76,23.222299
58.85,80,23.326297
94.85,82,23.443314
155.55,92,23.570306
111.75,95,23.690303
159.45,71,23.776302
283.95,86,23.905838
117.85,78,24.007842
130.75,93,24.127837
196.7,77,24.237837
162.95,81,24.343839
129.85,79,24.454843
260.7,84,24.569837
143.05,106,24.701843
279.55,83,24.816839
139.8,75,24.919836
106.05,76,25.025836
62.9,86,25.252839
177.55,95,25.383837
95.85,87,25.503839
188.0,75,25.609838
156.05,83,25.712836
265.05,77,25.821838
201.0,77,25.923838
214.7,91,26.044838
57.6,101,26.170846
191.25,72,26.266838
158.8,72,26.375838
192.05,71,26.488839
227.8,99,26.614839
183.65,102,26.7591
131.65,60,26.8511
163.5,69,26.9471
228.5,88,27.059101
157.65,62,27.140096
193.95,98,27.271104
128.8,92,27.401104
111.2,62,27.488096
167.65,100,27.611106
161.5,62,27.693102
140.5,96,27.820101
345.4,91,27.937101
192.75,85,28.051101
166.5,82,28.153105
