#{"t_start": 1785072924.9686613, "env_id": "None"}
r,l,t
-247.65,78,0.121999
-12.95,78,0.215001
-250.6,76,0.288998
-290.2,89,0.767001
-115.3,77,0.866006
-50.5,81,0.954006
-132.05,76,1.351522
-211.45,103,1.467525
-199.5,71,1.55553
-264.45,82,1.944525
-50.05,110,2.06653
-105.95,75,2.151528
-241.4,100,2.544526
-135.65,80,2.648523
-181.85,86,2.752529
-149.7,88,3.124534
-204.45,62,3.202522
-164.75,70,3.289529
-114.25,90,3.701529
-89.65,69,3.785531
-119.05,86,3.887528
-186.15,64,3.964531
-210.85,89,4.373238
-124.7,76,4.460235
18.55,82,4.607236
-88.85,76,5.046237
-184.1,82,5.14024
-123.45,68,5.225235
85.9,83,5.59724
-59.1,77,5.695238
-109.65,90,5.809244
-112.95,71,6.180234
-126.3,101,6.309233
-3.75,87,6.402234
-120.5,87,6.802235
32.4,96,6.914239
47.45,100,7.029235
7.4,85,7.414762
11.05,80,7.506762
-138.7,83,7.601756
55.45,109,8.008756
29.9,83,8.109757
1.7,80,8.191756
-52.6,65,8.568758
-85.1,60,8.651757
-145.75,72,8.730754
-21.75,95,9.141757
-37.9,71,9.249756
31.55,74,9.34676
-7.4,76,9.425753
58.6,88,9.809763
8.3,66,9.901757
105.15,88,9.998764
115.6,77,10.384317
-43.65,102,10.508317
88.65,80,10.647322
97.5,68,11.091321
-0.95,99,11.203317
51.7,66,11.283316
108.55,71,11.643321
33.9,76,11.733314
37.55,61,11.823318
-75.55,93,12.220322
35.2,83,12.323316
48.15,84,12.435321
94.3,69,12.517313
106.15,71,12.899315
-98.65,75,13.009315
-11.0,82,13.116322
-48.1,83,13.542852
152.4,72,13.622888
76.55,73,13.708855
64.75,91,14.108859
111.2,89,14.212857
73.8,57,14.284858
121.35,82,14.375854
195.9,71,14.741858
69.75,91,14.855852
145.45,75,14.939858
144.65,87,15.336859
139.8,69,15.420857
61.1,65,15.505858
82.5,78,15.882859
109.45,96,16.007853
63.85,72,16.099043
51.5,95,16.480088
66.25,97,16.704088
217.2,86,16.825091
152.0,94,17.233089
144.6,100,17.345092
29.3,73,17.425089
97.3,67,17.793085
194.5,85,17.893085
180.35,76,17.98809
121.85,62,18.05209
84.05,77,18.432084
64.7,78,18.521086
52.5,96,18.622091
109.2,94,19.017086
92.35,103,19.14109
154.8,79,19.516611
108.85,75,19.604609
226.5,89,19.70661
181.7,84,20.094605
112.15,63,20.171605
167.1,86,20.280611
77.1,81,20.370611
86.45,72,20.809605
176.05,88,20.917611
190.7,86,21.016603
106.85,95,21.433604
163.6,77,21.526613
56.1,73,21.613607
232.15,69,21.995606
135.55,100,22.1196
222.35,93,22.227268
274.4,78,22.736273
