#{"t_start": 1785071940.1834908, "env_id": "None"}
r,l,t
-94.5,90,0.17599
-375.5,81,0.323992
-268.1,82,0.475994
-193.55,91,0.669994
-182.85,106,0.799992
-308.9,84,0.987481
-256.55,96,1.134482
-115.65,85,1.228483
-163.2,80,1.385487
-219.95,116,1.552483
-305.55,76,1.640484
-154.1,83,1.805483
-195.8,72,1.915483
-210.1,74,2.007484
-279.7,96,2.181483
-147.25,67,2.284481
-302.65,76,2.379496
-208.65,76,2.472483
0.95,86,2.665483
-214.8,70,2.765493
-126.85,76,2.854483
-211.4,96,3.200484
-190.05,66,3.311484
-174.5,70,3.590485
-203.6,82,4.145681
-70.0,68,4.253684
-181.4,84,4.366682
-102.4,78,4.509687
-141.8,102,4.661682
-203.85,69,4.755694
-191.5,81,4.848683
-86.15,72,5.057684
-189.65,73,5.160683
-88.4,76,5.238693
-299.3,91,5.516682
-231.0,87,5.660692
-267.95,85,5.755683
-213.05,93,6.024683
-255.0,83,6.163684
-217.85,84,6.256683
-176.35,77,6.446684
-177.4,98,6.581695
-171.55,83,6.669683
-154.35,92,6.855683
11.35,66,6.957209
-230.75,97,7.076206
-42.2,71,7.231206
-211.4,84,7.358206
-128.65,82,7.45222
-90.3,90,7.645202
-356.4,67,7.748206
-9.25,85,7.846206
-183.3,96,8.041207
-234.85,77,8.167215
-128.5,101,8.274207
-93.85,76,8.436208
-157.8,82,8.572206
-142.05,80,8.657207
-50.45,66,8.789206
-25.05,73,8.942207
-24.0,67,9.103216
-47.7,69,9.183216
-151.05,94,9.367209
-254.5,74,9.480206
-102.0,81,9.598207
-254.9,102,9.796894
-114.4,82,9.929411
-185.8,73,10.021413
-157.2,65,10.17141
-48.5,110,10.333412
-160.15,83,10.423412
-143.4,81,10.614413
-247.4,76,10.743413
63.4,89,10.842417
-119.35,103,11.029415
-122.05,92,11.171411
-57.7,96,11.284412
-74.45,92,11.474411
-83.15,104,11.60743
-94.35,99,11.792413
-191.7,64,11.889413
104.25,65,11.977412
39.9,64,12.045408
-1.0,73,12.205412
-42.6,93,12.359412
-122.4,75,12.446412
-115.1,63,12.57841
-1.15,79,12.706412
-88.75,111,12.849412
-136.55,78,12.994931
-15.15,90,13.14493
-64.2,75,13.241936
-122.6,88,13.412931
-114.55,106,13.574932
-120.95,78,13.658933
-119.55,75,13.844935
-102.8,87,13.979931
50.6,98,14.090933
-75.15,69,14.391933
-116.15,59,14.482932
-147.45,81,14.588933
-87.2,93,14.687932
-197.25,66,14.846931
-197.2,58,14.948931
-23.75,71,15.05593
-26.45,88,15.21393
-156.9,88,15.35393
-39.55,77,15.446943
29.85,81,15.601934
-158.85,86,15.730931
-4.5,68,15.822582
-48.2,79,15.911118
35.9,67,16.069129
-169.15,70,16.175119
-130.45,84,16.26912
-37.5,74,16.446119
-51.45,63,16.548118
-72.65,91,16.657138
-48.25,76,16.80112
32.45,71,16.908117
-21.05,81,17.020117
-70.45,66,17.097129
-71.5,83,17.265117
-46.8,86,17.401119
-48.3,68,17.477118
-77.25,98,17.660118
-135.2,70,17.768117
-142.85,75,17.881119
-78.45,116,18.079118
-1.3,75,18.197118
-112.25,75,18.288117
-74.55,78,18.459118
-1.25,100,18.613118
-63.6,78,18.76112
-37.25,74,18.966645
34.5,84,19.106648
-146.85,66,19.212657
-37.15,68,19.29066
29.5,67,19.440648
-119.05,84,19.583657
7.3,64,19.653652
-78.25,64,19.739652
-54.25,56,20.043647
-19.45,83,20.165647
44.25,67,20.250646
-136.9,81,20.412649
63.5,66,20.525647
-135.55,90,20.645647
54.5,90,20.819647
-50.7,95,20.986661
-11.2,81,21.102648
-81.9,99,21.281648
7.9,95,21.429647
-43.5,76,21.523647
97.15,86,21.687648
-107.2,86,21.817798
-63.0,76,21.904867
-160.0,77,22.073867
-105.15,81,22.191866
-36.55,92,22.30287
-9.65,96,22.523866
-72.6,99,22.667867
-176.85,86,22.759867
-93.0,71,22.911866
-38.55,97,23.064868
25.25,76,23.143862
-38.05,78,23.299865
-100.25,75,23.417866
141.7,86,23.540867
-33.2,66,23.669865
-76.55,76,23.792867
31.6,68,23.885871
-81.9,76,23.974868
-17.9,94,24.188864
-43.15,70,24.293884
-20.8,73,24.373873
13.45,86,24.541866
14.4,78,24.660868
-80.85,96,24.765863
-1.05,78,24.929402
150.9,91,25.082403
-168.7,104,25.211403
-92.5,73,25.363402
-85.8,78,25.611402
63.55,93,25.718403
-54.85,64,25.856402
18.7,79,25.975403
-1.25,83,26.078402
-61.05,81,26.2634
-68.05,62,26.355401
6.5,91,26.478413
-126.2,92,26.5754
-61.95,75,26.764401
-84.55,95,26.888403
20.45,107,27.063402
69.15,80,27.197403
-36.6,81,27.296402
62.45,59,27.362401
56.65,84,27.535401
-51.85,74,27.646403
-24.05,90,27.762402
19.9,68,27.91257
41.45,103,28.06157
76.4,78,28.144571
-22.2,102,28.348586
-64.95,84,28.471571
109.5,89,28.58157
71.2,72,28.75157
19.25,66,28.862571
-16.55,59,28.926569
-57.35,83,29.122571
14.9,94,29.31557
125.65,77,29.428585
113.5,84,29.57957
-37.3,70,29.687574
69.15,79,29.798581
-52.5,84,29.89557
-57.45,83,30.08557
93.3,84,30.208571
-16.1,68,30.303572
60.05,79,30.467571
1.5,74,30.578571
65.25,75,30.66457
37.1,69,30.813566
113.15,74,30.93357
119.55,84,31.042099
-30.1,84,31.130089
11.8,77,31.313088
72.0,87,31.535087
3.45,83,31.630087
167.15,102,31.833087
-57.3,96,31.95609
-8.0,74,32.044116
-26.2,88,32.232087
198.45,77,32.339088
-6.5,73,32.416087
-36.4,71,32.56909
13.8,85,32.696087
-39.8,90,32.80009
90.75,86,32.989095
36.5,101,33.131087
89.35,91,33.227087
81.75,89,33.416087
-4.35,82,33.525097
-98.1,65,33.615088
-43.05,89,33.793087
59.9,64,33.901273
138.55,82,33.989259
175.85,81,34.152262
-123.75,67,34.256261
145.35,73,34.362272
48.6,87,34.51126
161.0,76,34.628266
19.65,66,34.72626
-3.75,77,34.81426
133.35,88,35.001261
-37.3,74,35.113256
-4.6,93,35.220263
-89.35,86,35.413261
26.55,67,35.526261
90.8,62,35.593264
13.9,77,35.739261
35.85,81,35.865261
188.5,78,35.965261
-63.4,64,36.033261
149.45,87,36.208259
15.8,67,36.31426
96.15,72,36.410258
16.85,69,36.551261
50.0,102,36.704262
131.0,82,36.809276
73.35,105,37.010548
-23.2,98,37.241546
44.85,76,37.331547
119.8,82,37.499547
90.55,76,37.613547
112.35,64,37.684543
96.15,98,37.865545
84.0,92,38.009546
89.1,71,38.089547
69.5,85,38.239543
6.5,83,38.36955
137.15,110,38.509558
80.7,86,38.685546
177.7,100,38.832547
177.5,87,38.938557
102.4,97,39.131546
125.4,85,39.256547
63.1,68,39.329547
6.5,94,39.520548
201.1,75,39.632558
158.05,74,39.713548
80.0,72,39.859194
134.8,76,39.997244
129.75,79,40.097244
50.2,64,40.16624
141.15,73,40.335243
137.3,90,40.466242
142.1,73,40.569268
83.5,90,40.746241
20.5,66,40.847242
90.1,78,40.938243
-60.1,73,41.099241
119.5,78,41.215242
169.4,85,41.322242
95.4,84,41.473242
112.3,80,41.606249
63.95,75,41.700242
122.35,87,41.792242
118.15,107,42.00824
151.8,87,42.144253
233.8,93,42.306244
171.9,106,42.462242
203.1,74,42.542241
169.85,65,42.692245
48.8,75,42.827242
77.05,82,43.011745
179.45,77,43.105749
115.1,82,43.294744
179.55,83,43.406745
165.35,97,43.521754
119.6,86,43.759745
135.1,75,43.843745
69.4,82,43.930745
64.45,86,44.115743
132.75,73,44.218753
138.55,107,44.338744
125.25,78,44.510744
138.4,70,44.612744
143.0,64,44.699744
86.55,66,44.839745
92.8,77,44.960745
97.05,74,45.058745
81.7,101,45.230743
234.5,86,45.365746
72.9,89,45.476754
55.9,76,45.621747
-18.5,84,45.764746
136.45,59,45.85993
61.85,89,45.954983
97.1,82,46.185985
76.75,78,46.31599
71.75,65,46.396984
159.15,70,46.539984
188.45,85,46.666984
167.15,88,46.779984
165.5,64,46.908983
75.4,78,47.029983
159.0,76,47.130984
115.3,73,47.208984
164.1,68,47.364983
102.95,66,47.465984
163.45,87,47.567984
104.85,76,47.709984
-22.05,85,47.836982
206.8,71,47.927984
28.9,95,48.098984
125.6,85,48.227983
127.45,84,48.368988
72.5,88,48.637985
198.3,76,48.887985
113.05,70,49.031305
139.8,58,49.171302
193.35,77,49.407301
227.75,116,49.654312
93.8,71,49.767314
230.0,70,49.973302
144.05,64,50.131301
122.45,76,50.277302
