#{"t_start": 1785072666.0641916, "env_id": "None"}
r,l,t
-180.05,76,0.171001
-121.75,76,0.281006
-188.5,85,0.379004
-166.95,95,0.912001
-82.5,82,1.054004
-125.15,106,1.53218
-226.45,69,1.628167
-163.7,76,1.729165
-323.8,88,1.818176
-268.15,72,2.247166
-153.95,78,2.353166
-290.65,81,2.456169
-207.5,94,2.932163
-247.5,116,3.112166
-110.0,79,3.196169
-194.25,124,3.684181
-307.4,99,3.807177
-91.25,74,4.370421
-82.2,74,4.474402
-122.85,93,4.586411
-246.05,101,5.030401
-117.05,73,5.147402
-144.25,70,5.236402
-28.5,76,5.660402
-134.4,89,5.785417
-172.35,73,5.873404
-143.25,79,5.961401
-162.2,79,6.396402
-122.45,86,6.505401
-172.35,74,6.587409
-14.95,91,7.039402
-130.65,92,7.161402
-102.7,87,7.261413
-81.45,99,7.701923
-161.8,80,7.812927
-104.7,79,7.906964
-56.95,77,8.339923
-155.3,88,8.454926
-47.8,85,8.553929
-126.25,79,8.987924
-26.0,99,9.114922
-163.65,89,9.215937
76.1,96,9.666922
-13.15,88,9.77594
52.05,81,10.187921
-85.75,86,10.30168
70.9,85,10.410213
-4.9,79,10.808223
-124.9,91,10.931198
-47.35,92,11.050215
-20.95,85,11.492201
51.35,70,11.591221
64.2,78,11.691214
53.95,77,11.778206
131.05,88,12.221216
12.95,90,12.344203
-113.4,74,12.42721
8.15,84,12.992201
49.4,110,13.136204
79.8,90,13.594724
79.55,76,13.703722
65.55,96,13.826723
20.25,69,13.909726
17.2,90,14.366736
89.25,99,14.495725
46.6,88,14.912737
254.4,77,15.012723
122.25,86,15.121726
135.95,99,15.575723
48.4,94,15.700723
145.25,70,15.792736
-28.8,88,16.212752
57.9,80,16.321822
238.85,96,16.438879
114.25,67,16.834872
169.95,75,16.957863
129.0,90,17.089878
110.55,66,17.16988
142.8,82,17.60288
108.95,78,17.70488
154.25,87,17.809884
76.65,82,18.256866
117.55,89,18.382866
159.8,103,18.503878
118.25,76,18.919866
112.0,82,19.052864
301.1,75,19.13688
176.45,59,19.525392
191.45,65,19.614407
172.15,73,19.711394
166.75,64,19.785394
138.6,75,20.19939
171.85,68,20.301413
179.4,77,20.391403
114.9,106,20.847396
141.45,90,20.965401
229.8,85,21.072394
176.1,96,21.522402
152.45,103,21.659395
191.25,77,21.751398
132.65,68,22.312941
183.2,63,22.402002
131.25,71,22.495001
209.4,76,22.58401
195.15,72,23.003996
177.65,72,23.103996
281.5,71,23.187997
234.8,100,23.625013
262.75,85,23.755997
213.55,84,23.847008
206.55,93,24.406996
182.3,94,24.544004
214.0,67,24.62103
128.5,76,25.064012
161.25,81,25.169998
131.3,66,25.264996
167.55,70,25.66856
176.45,87,25.789547
222.35,72,25.884548
264.2,70,25.970561
151.3,81,26.402546
120.9,59,26.485546
181.55,83,26.582551
225.0,77,27.022549
216.3,61,27.101549
174.35,80,27.20155
212.45,78,27.288551
126.6,97,27.73456
110.1,78,27.839559
207.7,111,28.296554
150.8,81,28.406781
139.9,82,28.515773
243.5,70,28.598783
228.4,80,29.02177
270.8,96,29.150783
278.3,85,29.244774
285.85,70,29.658772
180.9,89,29.783773
229.55,88,29.880772
257.6,69,30.314772
324.9,64,30.408769
276.1,68,30.484782
247.9,93,30.903771
186.45,107,31.048772
177.45,77,31.147786
232.75,86,31.585324
272.7,71,31.695322
225.15,72,31.786322
138.45,76,32.203309
158.1,67,32.295307
242.3,75,32.391309
276.55,97,32.504319
229.55,88,33.07631
207.4,79,33.185322
255.15,71,33.26833
267.75,78,33.695309
275.65,77,33.79831
147.8,77,33.894338
197.15,95,34.344563
274.65,86,34.453631
225.3,85,34.55162
171.45,89,34.985964
275.15,95,35.121967
251.1,65,35.201964
155.15,70,35.617965
130.8,88,35.746964
259.05,77,35.854979
143.45,101,36.311965
181.05,93,36.436964
294.85,76,36.536966
199.9,90,36.994965
232.8,69,37.086965
187.15,96,37.207966
294.05,59,37.28197
230.8,78,37.704494
256.8,91,37.823486
274.45,85,37.92649
223.35,77,38.348489
217.5,81,38.450487
285.45,82,38.54249
258.6,63,38.948494
349.8,87,39.062488
273.75,78,39.164485
205.05,80,39.586486
213.0,71,39.683488
324.15,92,39.795502
245.2,64,40.198487
265.1,88,40.335521
215.9,75,40.436297
215.5,81,40.53229
228.05,94,40.980308
294.3,87,41.095295
217.3,95,41.539295
276.4,87,41.656295
238.95,83,41.757307
258.2,70,41.840295
249.75,74,42.268308
298.7,90,42.393294
313.0,85,42.576328
236.75,82,43.319309
348.65,71,43.440294
294.05,73,43.536834
179.0,120,44.017827
301.4,90,44.123829
284.45,76,44.211828
300.35,65,44.613828
364.5,74,44.702839
223.15,66,44.785828
201.9,95,45.231828
272.7,84,45.365829
379.9,92,45.467826
260.6,78,45.882826
314.65,84,45.999827
290.7,81,46.109827
350.0,77,46.534354
344.85,88,46.658362
284.3,96,46.772384
333.0,72,47.184355
275.75,69,47.277369
278.05,87,47.388367
329.8,88,47.807353
333.5,93,47.931367
268.9,70,48.024366
329.85,67,48.106368
280.2,78,48.538355
264.5,71,48.627367
268.05,72,48.720356
219.6,99,49.186368
349.4,72,49.280361
311.7,78,49.385356
125.75,90,49.825872
342.05,82,49.930871
292.2,70,50.017874
300.05,93,50.453875
370.25,82,50.563873
285.5,88,50.669874
243.75,82,51.088872
294.25,87,51.207872
253.2,63,51.291875
249.0,61,51.369872
312.75,67,51.783872
308.85,76,51.882884
314.0,76,51.985883
293.9,101,52.439501
288.35,94,52.560021
178.25,75,52.656033
316.7,74,53.215033
286.25,100,53.343023
286.4,85,53.449019
334.45,78,53.874021
372.8,84,53.999033
270.4,80,54.106033
325.8,79,54.522017
316.7,69,54.628033
266.6,88,54.735032
308.1,88,54.83302
352.0,99,55.305033
352.4,90,55.417022
355.45,96,55.858877
363.75,76,55.95387
358.9,77,56.051874
269.0,61,56.122864
263.5,83,56.54987
356.35,82,56.665872
360.6,87,56.771865
298.1,82,57.254863
335.05,82,57.370877
269.35,92,57.518863
305.1,87,58.078864
276.4,87,58.219874
272.45,71,58.337874
271.8,80,58.870167
351.3,77,59.017167
237.1,78,59.112171
365.05,88,59.566166
372.9,88,59.681167
281.65,87,59.780179
297.75,95,60.239166
277.25,74,60.348168
336.3,73,60.434175
293.95,90,60.841195
290.7,79,60.953179
400.25,77,61.052177
263.9,72,61.452167
349.4,78,61.570704
342.75,94,61.689705
318.8,66,61.761725
261.85,96,62.209704
359.15,84,62.318717
251.1,79,62.406715
338.4,79,62.836717
277.55,71,62.930705
340.2,78,63.021703
379.25,84,63.5677
330.65,83,63.682705
286.4,87,63.782717
310.15,98,64.253705
339.55,85,64.373706
315.5,88,64.480602
292.0,74,65.022592
311.3,71,65.122605
365.55,84,65.225612
303.8,73,65.685589
304.2,108,65.840591
326.4,84,65.9366
416.4,68,66.349608
394.7,73,66.450591
310.9,82,66.552596
285.25,78,66.974592
396.0,82,67.087598
237.0,87,67.191593
278.15,74,67.274591
355.15,93,67.728092
367.4,77,67.825108
352.05,91,67.93611
276.95,69,68.358108
390.45,74,68.460104
430.7,72,68.542096
274.7,72,68.948095
334.95,82,69.082096
347.1,77,69.182096
332.5,80,69.607094
325.1,94,69.733094
298.95,80,69.825097
238.55,81,70.255095
331.8,85,70.380096
353.75,87,70.536327
350.5,103,71.218326
331.0,99,71.37434
342.0,79,71.507338
421.5,75,72.161326
343.15,68,72.323327
343.65,85,72.561327
318.2,81,73.184326
329.9,91,73.329328
298.55,66,73.470329
325.9,61,73.585859
312.6,76,74.276872
348.25,73,74.437873
298.6,84,74.589878
301.05,92,75.069871
344.0,80,75.21388
288.65,68,75.32687
306.5,87,75.78287
340.75,77,75.880871
352.4,68,75.975871
320.65,82,76.072883
289.3,69,76.496843
279.85,77,76.598393
422.0,74,76.689395
289.4,78,77.112405
302.85,79,77.213408
350.45,80,77.318396
311.4,81,77.752394
434.35,88,77.880394
300.0,92,77.985394
409.0,82,78.416395
321.4,83,78.527395
329.7,83,78.639395
420.7,68,78.717396
371.5,65,79.154409
383.0,58,79.229395
352.05,69,79.309392
378.4,81,79.733914
278.5,65,79.818915
274.45,81,79.928928
383.7,82,80.019927
290.7,67,80.455915
325.3,83,80.566912
256.45,84,80.669914
261.2,84,81.103916
327.4,99,81.237915
319.5,89,81.345915
337.45,79,81.778918
324.4,75,81.870915
312.5,91,81.974916
329.7,66,82.389929
383.0,58,82.469455
329.7,83,82.581203
362.15,63,82.713201
417.7,67,83.140201
303.05,79,83.2492
327.5,82,83.352214
328.35,82,83.941202
372.5,117,84.099199
292.55,90,84.205201
269.45,79,84.626201
375.8,90,84.751194
357.0,96,84.858201
279.7,72,85.286218
407.7,75,85.397202
321.45,73,85.480213
374.05,77,85.929518
310.95,79,86.035515
364.75,81,86.134519
417.55,63,86.545514
355.7,69,86.64753
393.4,104,86.784516
381.7,82,86.872522
408.9,94,87.316518
359.5,76,87.408518
355.7,101,87.838531
354.9,58,87.920516
352.4,79,88.025517
360.8,66,88.100513
328.4,84,88.55331
418.75,76,88.648324
370.0,52,88.710322
359.5,66,88.794318
390.1,82,89.243321
339.4,82,89.359311
370.0,68,89.43432
353.75,68,89.84031
331.05,90,89.96131
362.95,69,90.042313
346.55,78,90.459322
266.0,63,90.551306
318.0,74,90.651309
365.7,77,90.733316
303.7,77,91.158308
360.85,78,91.263322
346.5,67,91.34231
330.35,87,91.781831
317.8,76,91.88883
356.35,73,91.988828
370.0,79,92.07583
316.05,87,92.509844
383.0,75,92.611831
386.4,92,92.717841
430.4,86,93.170831
429.25,81,93.278832
461.0,86,93.372841
430.55,72,93.800832
403.1,69,93.882829
345.2,74,93.969832
413.1,105,94.567434
442.1,83,94.682432
392.1,71,94.763445
412.8,88,95.187438
396.0,73,95.280431
359.8,97,95.416443
342.2,97,95.853435
379.75,81,95.964435
365.7,83,96.062444
415.6,69,96.470432
378.4,86,96.604443
380.4,85,96.706443
333.8,82,97.162439
338.1,85,97.297434
370.0,104,97.421433
432.4,62,97.817688
444.1,78,97.916693
368.0,93,98.088692
381.05,69,98.509689
308.45,75,98.622699
331.0,68,98.714694
381.7,84,98.806711
377.25,74,99.253693
396.0,86,99.362694
362.95,76,99.457705
383.0,73,99.864689
357.7,65,99.969689
448.0,73,100.066699
390.1,85,100.162698
461.0,80,100.596856
312.4,81,100.702857
394.05,74,100.793857
264.35,78,101.235855
435.0,89,101.348854
411.0,86,101.45486
307.8,87,102.038854
370.0,80,102.151864
398.65,84,102.243865
409.0,83,102.713854
411.8,96,102.834853
363.6,79,102.944856
420.7,86,103.395855
404.55,84,103.500869
455.1,57,103.571857
360.7,66,103.976263
409.0,83,104.083263
398.8,75,104.185261
387.5,92,104.286273
379.75,85,104.715273
406.4,83,104.831264
343.65,85,104.925275
381.05,86,105.52626
404.0,55,105.605261
347.95,119,105.740272
378.55,75,106.172262
409.0,79,106.276274
382.65,101,106.39627
391.55,90,106.837624
404.55,86,106.954638
448.0,98,107.386626
412.95,81,107.491628
434.2,71,107.584627
444.75,82,107.673639
404.45,85,108.126627
430.7,79,108.233625
328.7,64,108.310638
430.55,70,108.791625
443.4,68,108.892625
361.1,90,109.019629
438.55,86,109.448624
422.0,85,109.570639
391.7,52,109.639626
404.55,90,109.779146
380.05,83,110.245142
404.4,88,110.378142
443.4,84,110.474142
395.8,64,110.892148
322.1,58,110.975142
414.3,77,111.077139
443.55,88,111.493144
422.0,64,111.583148
389.25,70,111.673143
407.7,96,111.780148
430.4,83,112.213152
370.0,81,112.323141
344.0,68,112.401143
414.3,67,112.800482
404.55,90,112.917484
355.7,101,113.032491
417.4,88,113.483485
430.55,89,113.592484
383.0,83,113.706486
422.0,86,114.283484
416.85,79,114.421486
426.1,68,114.557484
433.7,99,115.269485
461.0,74,115.466486
331.0,91,115.685486
422.0,88,116.243011
402.6,78,116.36401
417.55,88,116.521011
335.1,91,117.141023
456.4,95,117.270011
403.75,79,117.366019
434.5,78,117.777017
374.4,80,117.889009
361.25,90,117.99702
420.7,72,118.404012
360.95,82,118.53002
378.2,86,118.637608
335.1,86,119.072126
430.4,109,119.216138
386.4,69,119.296139
420.7,73,119.711125
473.35,65,119.80013
398.45,59,119.875125
382.35,75,119.961125
434.8,76,120.406126
365.4,80,120.505143
403.75,77,120.602139
443.7,103,121.063125
404.4,70,121.156125
446.7,81,121.254124
448.0,59,121.642124
430.55,81,121.759403
417.7,78,121.854408
426.25,72,121.938421
342.7,74,122.366395
381.0,82,122.476402
374.1,64,122.5494
394.05,65,122.937409
370.0,55,123.013397
404.55,84,123.123395
384.85,106,123.240404
391.55,88,123.700397
369.65,82,123.815406
403.5,91,124.258395
390.45,61,124.339397
430.4,83,124.455411
409.0,75,124.535407
378.55,87,124.984632
372.65,74,125.089634
383.0,74,125.174635
377.9,71,125.586646
446.7,100,125.714635
363.3,62,125.791646
385.4,88,126.220654
