#{"t_start": 1785072023.3003943, "env_id": "None"}
r,l,t
-301.35,82,0.145998
-72.9,99,0.375001
-346.55,67,0.503999
-218.1,79,0.648
-247.05,84,0.756
-334.45,99,0.885999
-248.7,79,1.093999
-204.45,76,1.208999
-255.45,78,1.290999
-329.45,92,1.387001
-182.9,67,1.466
-183.75,68,1.538014
-328.65,78,1.757008
-186.95,66,1.864998
-277.85,80,1.995533
-269.65,92,2.096532
-138.5,72,2.192523
-140.1,83,2.282523
-232.85,72,2.359532
-195.05,77,2.568522
-257.5,79,2.699522
-218.8,89,2.808522
-193.05,83,2.893532
-213.65,83,2.984541
-220.05,96,3.088525
-134.45,85,3.311521
-99.6,76,3.427542
-192.3,76,3.516522
-307.85,82,3.608521
-315.0,103,3.745523
-146.7,87,3.881522
-143.35,73,4.071522
-52.8,91,4.209523
-277.4,68,4.292522
-257.15,92,4.395521
-341.2,78,4.477522
-215.7,84,4.567522
-230.75,89,4.779522
-167.4,79,4.91166
-220.65,86,5.031656
-176.3,77,5.112666
-184.35,93,5.210656
-438.2,78,5.297657
-135.9,90,5.518656
-216.3,76,5.636655
-104.9,74,5.726668
-12.9,69,5.807656
-267.5,84,5.915656
-118.75,87,6.012656
-212.95,88,6.102657
-230.0,85,6.321657
-259.05,76,6.430668
-285.45,95,6.531667
-186.55,81,6.617659
-194.7,66,6.692656
-323.3,66,6.765666
-181.8,92,7.134667
-169.15,70,7.242654
-154.4,87,7.343655
-137.15,77,7.424657
-116.9,78,7.526656
-108.85,82,7.611655
-301.45,76,7.710666
-114.3,92,7.948657
-181.65,93,8.066179
-253.9,83,8.156182
-178.25,75,8.233188
-59.05,75,8.316179
-268.7,82,8.402177
-200.75,77,8.623178
-87.2,84,8.748179
-244.4,84,8.854185
-292.75,108,8.967179
-82.1,84,9.067179
-353.05,89,9.161179
-176.85,76,9.363178
-212.6,77,9.474179
-247.4,80,9.55918
-197.95,77,9.665189
-208.45,82,9.756186
-196.55,66,9.868179
-301.4,76,10.11718
-329.85,88,10.255182
-208.55,80,10.363176
-242.55,76,10.443178
-185.4,75,10.52518
-174.5,74,10.604181
-207.5,76,10.698177
-230.95,112,10.974357
-312.55,85,11.082356
-282.95,71,11.16136
-87.3,84,11.257355
-217.7,86,11.359365
-252.6,98,11.551354
-190.9,88,11.684356
-299.65,89,11.804371
-236.5,102,11.950357
-169.65,91,12.044367
-303.15,116,12.166357
-201.95,79,12.377357
