#{"t_start": 1785073931.1446598, "env_id": "None"}
r,l,t
-210.8,88,0.168001
-174.6,96,0.314
-152.85,77,0.425005
-172.2,85,0.570996
-347.05,68,0.668001
-145.8,97,0.803005
-151.7,77,0.937002
-68.4,79,1.105
-124.65,86,1.257001
-28.2,66,1.367999
-97.5,69,1.477
-110.8,75,1.591999
-218.85,77,1.709998
-127.75,91,1.841997
-10.75,76,1.956999
-102.85,74,2.083999
43.8,100,2.344997
37.45,75,2.468002
5.45,83,2.599002
22.45,84,2.728527
-27.05,108,2.884528
-145.2,65,2.974526
-99.65,88,3.128521
-42.4,74,3.232527
-87.0,79,3.372527
-103.9,86,3.522525
-62.0,114,3.676527
-41.2,81,3.800525
-246.8,82,3.924526
-163.5,67,4.046527
-145.95,73,4.171531
-122.0,74,4.293525
41.35,86,4.417527
-70.2,80,4.535527
20.1,92,4.676528
-36.1,90,4.805531
-126.6,75,4.911527
-18.45,94,5.056527
89.85,74,5.17153
34.4,64,5.26853
-66.45,74,5.381528
19.95,71,5.488525
-25.7,86,5.621451
-8.7,61,5.714447
1.15,68,5.818448
77.35,90,5.960448
48.75,86,6.099448
66.5,78,6.22145
-68.55,88,6.349449
-90.2,82,6.491446
119.55,77,6.611448
117.4,92,6.757447
96.45,78,6.875447
-58.2,74,6.99745
102.7,91,7.143451
-68.55,73,7.255445
2.4,87,7.388448
72.5,62,7.483451
53.0,79,7.591448
60.5,94,7.722446
13.75,72,7.832451
-46.9,77,7.952448
123.25,83,8.074442
69.75,84,8.205448
69.6,86,8.33445
115.0,92,8.506443
-17.75,66,8.602448
-11.45,79,8.717691
34.75,67,8.835674
11.45,66,8.938681
63.1,80,9.06868
104.8,87,9.186684
60.55,72,9.29468
133.1,80,9.420684
83.15,77,9.565685
117.35,78,9.67768
157.5,87,9.80068
176.5,67,9.900678
86.95,77,10.020683
34.5,71,10.133675
128.5,72,10.230679
171.9,73,10.347681
-7.7,90,10.628679
165.7,92,10.757684
127.7,89,10.883681
84.95,78,10.99468
157.0,76,11.109679
123.45,79,11.22068
159.95,106,11.37168
143.95,89,11.499684
131.0,65,11.606826
177.0,90,11.739869
80.4,68,11.833875
224.15,81,11.956873
76.85,98,12.118875
204.05,81,12.239876
135.25,82,12.374874
181.95,93,12.509879
170.85,99,12.672877
145.4,79,12.789874
104.6,71,12.907878
199.45,84,13.124876
130.65,83,13.326872
214.15,89,13.495876
57.05,85,13.627879
176.1,60,13.743903
198.4,70,13.859875
286.35,92,14.023877
193.1,70,14.127879
191.85,81,14.257874
203.25,94,14.397875
222.15,84,14.51287
213.25,82,14.635875
268.35,81,14.7574
185.75,85,14.895399
104.05,80,15.022409
194.55,63,15.123397
94.55,83,15.254399
164.0,61,15.347397
128.65,71,15.443403
227.3,58,15.5294
166.5,80,15.6474
123.25,80,15.7684
229.1,72,15.8884
230.4,72,16.018399
182.95,70,16.135405
205.8,75,16.246397
93.45,73,16.355401
186.8,74,16.474397
177.3,63,16.5684
151.7,81,16.686399
249.95,78,16.823398
231.15,79,16.963401
278.05,75,17.079423
190.6,79,17.198405
205.55,78,17.3304
186.55,80,17.455399
258.4,87,17.576486
230.2,85,17.70555
138.25,77,17.820545
173.45,80,17.950548
215.45,65,18.053555
214.05,82,18.170551
170.8,74,18.284555
238.7,79,18.405554
186.0,85,18.534551
170.1,102,18.683551
216.9,76,18.80055
205.9,66,18.899554
247.3,86,19.038545
170.5,74,19.163555
265.75,67,19.323555
259.9,99,19.509545
263.95,89,19.640549
279.9,85,19.776551
190.65,80,19.906551
236.5,65,20.028551
294.4,70,20.127548
252.1,78,20.24255
157.7,71,20.353554
335.8,74,20.460553
272.0,72,20.576548
223.4,78,20.687551
169.8,77,20.803065
276.85,76,20.913064
286.85,75,21.032066
185.1,79,21.153064
201.8,71,21.257065
216.8,79,21.373063
264.8,71,21.472064
303.7,73,21.584064
191.3,80,21.700064
263.85,67,21.801069
259.0,103,21.953064
313.45,72,22.062065
265.55,71,22.168069
236.6,87,22.326069
279.0,106,22.476064
291.65,104,22.631066
90.85,80,22.775064
253.8,90,22.90106
280.5,94,23.041065
265.1,90,23.174058
324.6,100,23.320065
217.15,96,23.461062
251.65,84,23.588141
289.05,75,23.708204
270.45,89,23.841208
220.0,73,23.945211
280.6,77,24.062202
296.0,90,24.184204
290.9,85,24.317204
242.1,92,24.462203
264.2,92,24.601204
194.05,81,24.718202
238.0,76,24.837203
245.4,89,24.967205
214.0,80,25.083208
251.8,81,25.199206
242.4,107,25.391205
315.05,71,25.490205
278.55,66,25.585203
230.0,83,25.706205
235.7,102,25.870219
325.25,78,25.990203
307.1,71,26.104205
319.0,71,26.215209
310.95,80,26.334206
231.4,68,26.435206
245.2,70,26.534205
236.15,72,26.650204
267.75,99,26.791729
229.75,82,26.917731
202.5,92,27.067729
259.5,75,27.176733
349.65,81,27.324733
355.7,77,27.486731
355.7,71,27.64073
292.0,62,27.76873
334.95,68,27.928733
289.65,75,28.087734
249.1,80,28.24973
304.5,80,28.41273
347.75,79,28.587728
