#{"t_start": 1785073163.3270085, "env_id": "None"}
r,l,t
-152.75,76,0.124007
-77.25,89,0.283007
-176.6,85,0.406008
-191.8,84,0.930998
-270.95,83,1.031
-167.7,73,1.106008
-308.65,92,1.507999
-364.3,77,1.591005
-190.05,102,1.699003
-225.2,89,2.100427
-112.1,89,2.20042
-171.45,83,2.301419
-69.95,89,2.706417
-93.75,89,2.814418
-47.2,65,2.888417
-71.25,82,3.254421
-191.1,84,3.351427
-100.15,77,3.434426
-177.0,76,3.801426
-141.25,79,3.895427
-106.6,76,3.986443
-101.1,92,4.381422
-117.2,86,4.486425
-148.1,74,4.568426
11.7,75,4.925546
26.1,87,5.038546
14.1,106,5.158552
-5.1,85,5.543549
4.7,83,5.636552
45.9,72,5.718551
12.2,81,6.092541
43.05,73,6.188546
25.8,87,6.285544
-29.2,72,6.362546
32.2,80,6.754552
48.05,76,6.840552
52.15,66,6.915547
33.3,75,7.28655
177.3,79,7.372552
194.5,90,7.470543
110.05,91,7.846541
101.8,98,7.971085
176.15,79,8.056095
111.75,68,8.420084
-15.2,68,8.501085
114.85,65,8.587084
150.35,97,9.00208
101.95,92,9.12408
109.6,90,9.225082
88.25,92,9.744083
197.1,77,9.82808
92.8,105,9.956076
202.55,73,10.33108
181.3,90,10.445079
246.85,94,10.550084
140.2,80,10.915269
83.15,81,11.018273
102.1,82,11.111276
156.05,67,11.480273
118.6,78,11.572268
218.25,74,11.669268
113.2,92,11.760269
151.15,83,12.179267
276.4,98,12.292273
214.0,81,12.380302
262.25,72,12.754273
313.3,85,12.850266
157.25,74,12.929268
247.55,74,13.29327
132.7,81,13.387272
237.05,70,13.462265
218.6,78,13.838267
199.95,109,13.958314
251.45,95,14.068304
224.55,93,14.470309
184.95,82,14.566309
166.45,75,14.655306
298.45,84,15.035308
242.9,94,15.159308
178.75,79,15.245309
202.7,80,15.623313
239.65,75,15.719315
280.3,81,15.808309
262.1,87,16.184316
256.85,85,16.292313
142.25,81,16.380307
222.45,83,16.764303
159.45,86,16.874368
320.4,84,16.96836
213.7,86,17.358365
281.3,72,17.44737
319.8,64,17.523361
305.25,84,17.61037
243.1,84,18.009369
250.7,66,18.086365
278.65,80,18.173369
255.45,81,18.68637
333.8,100,18.805366
320.25,62,18.88737
272.85,95,19.288359
245.4,81,19.381369
350.2,74,19.469372
323.3,78,19.828364
324.1,63,19.907365
298.25,81,20.017887
191.1,81,20.105896
326.45,75,20.488892
277.8,89,20.591895
236.05,91,20.686889
236.4,72,21.079896
339.55,63,21.157891
259.95,81,21.242889
295.2,76,21.602895
311.5,75,21.689888
243.3,70,21.767897
281.95,100,22.169889
324.05,91,22.269892
297.3,75,22.351896
289.05,70,22.428892
270.1,98,22.86206
318.85,67,22.945586
355.05,70,23.015585
308.5,78,23.407589
307.05,100,23.518585
375.95,87,23.631582
228.85,87,24.136592
303.35,99,24.262589
323.75,84,24.345584
299.15,97,24.749591
336.4,80,24.837585
321.0,77,24.916589
326.4,86,25.403585
291.25,101,25.587585
391.55,93,26.074104
293.7,76,26.160099
342.7,105,26.301096
277.9,93,26.693094
327.1,87,26.802098
336.25,106,26.921103
365.05,93,27.310102
321.4,69,27.3871
315.5,72,27.470108
365.05,68,27.828102
380.4,87,27.939097
310.8,86,28.033097
369.35,88,28.566105
277.05,68,28.644099
320.65,106,28.763099
411.65,98,29.171261
313.4,106,29.303256
310.45,76,29.385253
259.0,95,29.769251
312.75,57,29.846257
281.8,77,29.935253
248.4,87,30.305261
355.05,88,30.417251
315.6,81,30.507255
337.45,79,30.893255
299.55,84,30.990261
322.5,103,31.10926
290.0,105,31.508253
263.4,99,31.630254
343.4,100,31.732255
239.4,78,32.123775
351.1,69,32.211772
342.7,82,32.298774
368.7,90,32.689766
346.8,71,32.773775
422.0,76,32.858774
326.45,78,33.228774
328.95,79,33.320775
277.05,77,33.406775
284.15,67,33.474775
383.0,60,33.823776
274.4,90,33.945774
312.8,101,34.05577
269.8,82,34.45677
267.05,65,34.529774
290.7,81,34.615774
339.0,85,35.026136
291.3,64,35.107127
240.15,81,35.199128
328.4,74,35.582141
199.2,82,35.673136
362.8,79,35.759135
333.05,79,35.841129
358.45,84,36.237136
274.45,91,36.344136
298.05,69,36.422129
286.75,101,36.870136
329.7,93,36.983132
341.4,70,37.057133
211.4,90,37.582135
262.75,92,37.686128
381.05,99,38.084669
254.0,109,38.219668
314.1,85,38.312673
284.8,77,38.713668
258.85,78,38.809674
284.3,77,38.905664
364.9,66,38.97767
310.8,80,39.384671
307.35,104,39.495668
278.35,82,39.868673
368.7,68,39.952674
291.35,74,40.041673
317.35,102,40.149669
230.45,89,40.542673
163.35,67,40.621673
249.8,84,40.713665
267.5,79,41.091465
342.05,84,41.204465
261.0,89,41.297465
293.6,69,41.652468
311.05,73,41.747468
305.95,92,41.850466
303.7,76,42.230464
165.55,92,42.348464
253.0,78,42.431462
279.0,68,42.797463
342.05,69,42.892469
302.4,71,42.974461
305.0,78,43.054469
238.8,70,43.429469
324.45,97,43.539465
318.0,85,43.63346
325.35,86,44.027985
313.45,83,44.128987
303.7,74,44.208981
378.7,88,44.585983
285.7,68,44.672989
266.0,88,44.773989
325.75,67,45.139983
310.8,68,45.219985
297.3,100,45.344987
357.0,72,45.421988
292.55,80,45.812984
307.1,87,45.91499
247.25,68,45.989982
381.7,74,46.492989
290.05,74,46.582989
263.35,60,46.655985
316.05,88,47.041187
260.1,81,47.140201
250.4,90,47.255182
328.4,69,47.337193
273.1,84,47.724191
311.05,67,47.804189
292.0,74,47.885183
338.1,89,48.283187
355.7,84,48.385186
331.0,81,48.47019
304.35,74,48.843185
331.0,99,48.978188
393.4,79,49.061191
216.8,72,49.467186
375.15,102,49.58719
285.45,62,49.658192
266.0,71,50.018191
337.45,84,50.124624
307.0,69,50.212619
241.9,74,50.287618
353.1,78,50.667619
377.1,94,50.781618
305.0,85,50.868617
304.35,94,51.268614
326.45,88,51.365624
316.7,66,51.435617
307.5,76,51.820616
313.2,66,51.900644
324.45,63,51.973654
289.4,78,52.052619
243.1,56,52.423618
329.05,74,52.523618
307.75,79,52.613621
304.55,73,52.979703
334.3,66,53.0627
232.05,97,53.169697
343.35,81,53.545697
374.1,67,53.627697
229.15,85,53.726693
343.35,105,54.139693
313.0,86,54.241701
317.45,59,54.315701
355.7,90,54.419698
370.0,98,54.8337
331.0,101,54.946696
340.05,104,55.460701
338.8,76,55.553701
394.05,66,55.639699
355.05,63,55.750701
396.0,80,56.184246
347.15,80,56.301242
304.35,67,56.372247
349.4,91,56.781245
312.9,78,56.868242
368.7,81,56.957244
333.65,70,57.336241
256.45,92,57.439247
370.0,69,57.51624
264.2,90,57.892245
343.35,91,57.991247
275.05,75,58.084242
353.1,98,58.469241
377.8,62,58.546243
337.6,96,58.664237
364.85,67,58.737247
312.75,76,59.122889
372.5,84,59.229894
340.1,78,59.308894
384.2,67,59.676891
370.0,80,59.772894
325.65,86,59.863886
344.0,84,60.25589
234.25,72,60.33389
378.4,93,60.435889
327.1,94,60.818895
364.1,95,60.937885
349.3,70,61.016887
380.35,70,61.388887
393.4,87,61.489895
391.45,70,61.566894
409.2,80,61.950889
358.5,80,62.042894
295.8,103,62.168416
322.65,76,62.551424
328.8,72,62.637419
363.9,63,62.709424
340.75,98,62.813423
415.45,75,63.183419
340.1,107,63.316416
351.25,77,63.402426
395.35,84,63.776421
310.0,73,63.862422
328.4,91,63.981416
335.95,75,64.509414
276.4,85,64.607414
314.75,97,64.707419
355.7,108,65.1197
390.1,77,65.218703
435.0,70,65.292703
422.0,82,65.676697
349.95,77,65.779701
372.65,79,65.862702
328.4,79,66.24971
363.75,77,66.352706
391.45,73,66.433704
357.0,67,66.500715
364.25,75,66.883701
360.95,100,67.007701
290.05,101,67.530702
333.8,92,67.657704
358.85,82,67.7477
425.8,79,68.120999
294.8,83,68.221997
313.55,84,68.316996
381.7,74,68.692005
383.0,88,68.797003
281.8,77,68.888999
339.0,99,69.289998
382.35,88,69.389993
392.75,90,69.501994
379.9,70,69.860003
352.55,77,69.957003
300.05,80,70.050004
377.75,82,70.135994
352.55,98,70.553003
328.05,76,70.638002
377.1,74,70.717003
409.0,80,71.133169
346.65,69,71.240167
334.4,78,71.338168
389.1,67,71.708169
378.55,87,71.815174
377.25,91,71.92317
357.0,96,72.307168
372.65,112,72.453175
355.05,91,72.547169
315.4,61,72.909178
299.1,75,73.001172
400.1,87,73.099175
368.05,102,73.520175
420.7,75,73.609174
387.0,72,73.68517
382.65,78,74.216702
339.05,93,74.31771
365.4,81,74.411707
355.7,54,74.468708
329.05,78,74.870708
383.0,80,74.955705
367.65,86,75.051715
351.1,81,75.427705
341.4,59,75.496706
370.0,75,75.588705
325.8,100,75.984703
326.4,74,76.064706
378.4,58,76.145709
420.7,70,76.221712
403.1,80,76.588703
365.4,67,76.679708
417.4,86,76.76971
425.8,79,77.146443
402.9,69,77.238445
377.9,76,77.33344
391.55,82,77.728444
419.4,78,77.815442
344.0,92,77.917444
396.0,87,78.298441
352.55,96,78.413445
342.7,96,78.522446
360.95,94,78.937443
390.4,77,79.030445
453.8,84,79.119446
430.4,80,79.519446
390.1,81,79.619442
396.0,74,79.706445
383.0,97,80.098442
442.25,70,80.18997
403.4,58,80.259967
357.0,82,80.343971
357.0,77,80.730976
389.7,79,80.820975
