#{"t_start": 1785071345.5798423, "env_id": "None"}
r,l,t
-223.1,68,0.166013
-294.25,82,0.343996
-236.7,84,0.490995
-244.65,75,0.645
-211.8,97,0.846998
-439.4,83,0.982
-260.25,77,1.137998
-93.8,95,1.349993
-161.7,88,1.492556
-161.55,94,1.686546
-177.0,86,1.872544
-203.75,77,2.069545
-250.4,101,2.302544
-117.85,74,2.462544
-166.4,95,2.615551
-184.65,91,2.809544
-243.65,96,2.998549
-264.95,74,3.157546
-325.75,91,3.316549
-296.05,67,3.463545
-151.75,90,3.614548
-53.1,93,3.802544
-276.55,80,3.974547
-137.05,76,4.106544
-67.55,69,4.260716
-204.5,81,4.434885
-158.05,68,4.558877
-306.4,78,4.718883
-212.15,79,4.843893
-230.1,99,5.047878
-194.95,85,5.224882
-267.55,75,5.465876
-212.6,84,5.640876
-327.7,69,5.791876
-138.95,85,5.921874
-193.0,67,6.07189
-233.15,83,6.206877
-296.5,101,6.404876
-151.25,70,6.557879
-312.1,107,6.810879
-293.75,94,7.013885
-181.3,82,7.203877
-123.9,69,7.316892
-331.45,95,7.516415
-181.45,85,7.689408
-272.55,81,7.817424
-155.2,85,7.998414
-251.2,87,8.174415
-73.0,81,8.312423
-216.05,77,8.475415
-258.3,86,8.67041
-274.55,73,8.794416
-282.75,86,8.968423
-142.8,89,9.255409
-188.75,97,9.409414
-15.35,91,9.597417
-246.9,72,9.751415
-91.7,79,9.880408
-205.55,97,10.075418
-228.6,101,10.272955
-155.2,102,10.47627
-303.7,74,10.608264
-148.9,90,10.785279
-164.95,105,10.996279
-202.2,77,11.126271
-101.9,74,11.285272
-94.55,96,11.481277
-337.3,84,11.62827
-253.75,80,11.786331
-388.05,76,11.94927
-254.1,74,12.067271
-145.95,78,12.238267
-312.15,78,12.368271
-194.4,112,12.586285
-84.2,85,12.76327
-221.2,92,13.052265
-211.45,77,13.185267
-315.05,80,13.358278
-124.15,100,13.570792
-200.35,77,13.703789
-172.3,99,13.907791
-94.7,69,14.05979
-243.4,80,14.220793
-240.45,71,14.367788
-180.5,74,14.487802
-247.45,82,14.658788
-206.65,75,14.818822
-208.95,77,14.945793
-186.0,75,15.104793
-182.2,86,15.252794
-173.35,78,15.412794
-151.0,88,15.594792
-281.6,73,15.723792
-206.1,75,15.882801
-48.65,76,16.005785
-153.05,70,16.155792
-223.7,80,16.331085
-214.0,81,16.530165
-167.55,91,16.737165
-115.2,88,16.924167
-166.8,94,17.075176
-216.8,92,17.263166
-32.7,97,17.459177
-150.7,91,17.647165
-202.8,70,17.764163
-67.8,84,17.937178
-183.35,101,18.134166
-140.4,71,18.25118
-196.25,73,18.421166
-60.9,70,18.546178
-169.25,80,18.709179
-55.05,84,18.887173
-327.5,98,19.051185
-211.85,88,19.22917
-166.3,72,19.38917
-264.4,79,19.524684
-211.15,66,19.670691
-131.95,76,19.796682
-315.35,74,20.098687
-317.65,86,20.270696
-273.15,81,20.398687
-238.15,70,20.554686
-154.0,73,20.673685
-183.4,66,20.820691
-314.15,76,20.945693
-50.55,83,21.120683
-73.2,66,21.261683
-149.75,74,21.39169
-266.6,73,21.567699
-66.9,86,21.70469
-257.95,68,21.852696
-63.35,75,21.976691
-52.6,86,22.156686
-119.1,88,22.337854
-92.7,79,22.46901
-89.7,83,22.642012
-174.05,82,22.81201
-109.5,71,22.928005
-167.3,72,23.08101
-166.45,90,23.333006
-110.7,108,23.563009
-198.75,91,23.752013
-230.5,79,23.91501
-52.9,78,24.043013
-135.0,76,24.201021
-135.25,91,24.382015
-190.85,77,24.511024
-211.45,73,24.66101
-109.4,86,24.800031
-100.4,84,24.978026
8.6,89,25.157008
-103.25,82,25.287004
-120.95,79,25.468005
-73.45,69,25.633527
-156.35,83,25.766493
-73.35,83,25.943495
-119.75,97,26.142494
-138.05,98,26.297501
-219.55,65,26.448517
-47.7,86,26.634492
-181.5,74,26.75649
-155.8,77,26.917496
-177.25,82,27.143489
-6.65,70,27.298488
-147.55,83,27.481493
-88.6,88,27.6325
-135.0,89,27.807486
-156.65,79,27.987496
-60.85,77,28.122484
-52.65,73,28.287493
-153.85,84,28.42999
11.45,90,28.632001
-87.3,98,28.828986
-69.85,81,28.998991
-167.25,107,29.176013
-90.05,87,29.354986
-146.6,103,29.558996
-191.9,96,29.763987
-133.75,73,29.880997
-186.9,77,30.042984
-135.0,75,30.167999
-107.55,74,30.329991
-22.7,64,30.433991
-40.25,80,30.747985
-85.05,117,30.961991
-172.9,78,31.126991
-129.45,74,31.249991
-68.55,81,31.414984
-303.5,80,31.545537
-153.65,102,31.750523
-81.95,82,31.916537
-165.65,89,32.099528
-106.1,96,32.264539
36.1,83,32.442529
-183.6,72,32.597523
-52.95,97,32.75352
-72.85,84,32.953521
-27.6,76,33.115557
-199.6,90,33.261523
-81.8,94,33.452524
-125.5,87,33.641531
-68.45,81,33.774524
-66.25,90,33.974524
-19.3,79,34.13753
39.85,94,34.291521
-98.6,61,34.43686
-75.7,83,34.608846
-130.45,89,34.755852
-81.1,86,34.944856
-198.45,76,35.067852
-150.8,96,35.26586
-100.8,98,35.469849
-27.2,120,35.835843
-16.95,93,36.022847
-78.95,101,36.186858
-79.05,98,36.387852
-50.55,86,36.560874
-81.15,75,36.682882
-131.55,90,36.865848
-88.25,95,37.053851
-78.25,84,37.228851
-123.0,66,37.336845
-124.2,85,37.515307
-96.85,86,37.6573
72.15,81,37.827328
-0.9,91,38.0293
-194.9,66,38.145299
-78.45,95,38.330313
-105.55,83,38.508296
-7.75,73,38.6323
44.45,72,38.786295
-98.85,71,38.900304
-1.7,84,39.074301
-91.6,94,39.3023
-60.3,74,39.489304
-89.75,66,39.625298
-9.25,64,39.734314
-22.85,89,39.91731
-168.6,101,40.112315
19.7,81,40.250305
-205.15,81,40.419418
-48.5,81,40.59141
-197.25,88,40.741415
-45.65,71,40.896423
-48.0,90,41.087418
-42.3,98,41.250431
-174.45,83,41.429423
-97.75,75,41.594442
-14.25,73,41.719438
-46.75,88,41.898418
-84.05,76,42.066417
-108.9,72,42.186413
-51.95,56,42.312424
-51.15,89,42.464426
-227.55,68,42.610427
-75.2,92,42.75942
-213.55,72,42.92341
-78.6,86,43.295427
-115.2,84,43.460414
-116.9,71,43.738935
-143.6,96,44.06594
-53.65,83,44.232939
-140.1,72,44.396947
-57.45,86,44.584941
-61.95,89,44.753943
-116.0,94,44.934943
-205.5,86,45.12094
-36.85,91,45.27195
-154.9,54,45.399943
-27.05,71,45.516953
3.05,74,45.674939
-31.25,75,45.829938
28.75,75,46.012936
-92.85,80,46.215934
-160.5,89,46.396083
-1.9,78,46.620156
29.15,75,46.94917
-105.3,90,47.122162
-40.75,74,47.321159
-121.45,79,47.480166
-21.55,109,47.745174
-20.05,81,47.948171
-19.6,83,48.183158
-139.55,89,48.362163
77.1,58,48.51017
-31.9,72,48.669159
17.2,82,48.868177
-33.1,84,49.074161
34.7,109,49.278172
-108.3,79,49.475162
-50.95,104,49.700711
-102.25,92,49.958698
-67.6,101,50.202699
-43.25,80,50.456696
-93.95,80,50.688698
-1.25,79,50.882699
-75.95,69,51.118701
56.05,65,51.261699
-19.6,84,51.558698
-47.95,75,51.770718
-44.3,73,51.932695
-86.55,87,52.167695
-20.0,78,52.348696
-87.1,95,52.687416
-44.55,68,52.890415
-109.0,85,53.063419
-26.0,105,53.761419
13.75,88,54.080417
-77.7,79,54.300417
19.0,93,54.591417
157.8,74,54.796415
-18.3,87,55.014416
-20.0,95,55.284415
-14.65,68,55.505419
-28.9,86,55.702753
-85.85,66,55.956754
41.1,76,56.241752
-71.15,93,56.487756
13.45,76,56.741752
-99.95,82,56.994752
-90.9,84,57.290754
-162.0,104,57.593751
-77.6,92,57.86575
-9.95,80,58.048754
-124.3,89,58.32075
-155.6,69,58.613904
-86.3,66,58.883287
108.0,72,59.121935
-176.0,78,59.318607
33.7,85,59.58729
-72.65,84,60.03405
-77.6,80,60.235191
4.15,65,60.654219
-19.55,80,60.884079
-72.0,89,61.16676
-113.0,72,61.503572
-134.3,67,61.665511
6.0,101,61.871308
-4.95,82,62.069868
61.45,73,62.202798
-112.0,72,62.361227
-60.9,82,62.526588
-75.2,69,62.739103
-22.0,99,62.980348
-34.6,83,63.115465
-108.0,66,63.271889
-86.15,83,63.387944
-121.6,72,63.558571
71.4,97,63.782649
-126.25,78,63.917745
2.1,58,64.099812
62.7,84,64.287381
-94.45,85,64.537995
-29.2,116,64.874588
-21.2,78,65.082659
-303.85,73,65.204715
-255.35,78,65.383273
-44.9,66,65.49833
25.75,71,65.812935
37.75,87,66.030038
-168.9,93,66.229111
-81.5,85,66.452176
-81.3,81,66.647237
-19.25,68,66.755768
-176.9,75,66.93483
-89.2,109,67.167934
-5.6,93,67.366033
7.35,86,67.614172
-58.25,78,67.833242
-27.9,80,68.028352
-35.85,70,68.213063
-42.15,72,68.36259
-63.25,84,68.572659
-27.2,83,68.796736
89.75,84,68.97781
-120.65,85,69.207422
-66.0,79,69.421495
93.05,93,69.609557
-112.2,81,69.823433
-182.0,92,70.08413
-85.15,86,70.270197
-1.65,56,70.512936
-34.3,80,70.682521
-23.55,84,71.031687
-45.15,100,71.39834
-40.65,94,71.687922
-165.8,73,71.859983
-28.6,98,72.110612
69.4,55,72.284134
80.75,89,72.530744
-235.8,87,72.714846
-31.25,97,72.901944
-69.5,81,73.097465
-99.95,80,73.325062
-41.0,77,73.493618
-123.9,90,73.722662
74.8,90,73.929648
-131.55,67,74.05965
-67.3,74,74.243649
10.1,86,74.434746
26.25,94,74.880803
-24.9,83,75.2868
21.0,87,75.730798
-24.3,80,75.920801
-107.6,96,76.302799
-109.25,81,76.647796
-46.85,75,76.841801
-175.25,93,77.1758
3.5,76,77.360798
-16.0,85,77.771798
-14.6,61,78.105799
-255.45,79,78.304798
81.0,85,78.520796
-104.65,73,78.744799
6.75,74,79.078799
-12.9,81,79.293798
-94.65,70,79.465797
-140.9,65,79.710358
16.15,72,79.867358
-5.2,88,80.156357
8.1,67,80.302359
21.8,84,80.508359
9.4,77,80.696356
-12.55,74,80.843356
-16.5,82,81.146354
-116.25,64,81.290355
-11.9,70,81.486354
75.05,62,81.605361
-137.2,69,81.843357
-101.95,83,82.143357
11.05,89,82.429355
-30.6,68,82.61596
8.8,91,82.865955
-30.25,77,83.271959
-88.6,71,83.823958
-34.55,113,84.305961
-66.55,70,84.522961
-65.85,59,84.751959
2.15,88,84.959958
92.4,69,85.180961
-147.85,82,85.601961
-29.1,116,85.873321
-165.0,92,86.148318
9.75,90,86.416322
94.7,76,86.60734
-112.45,112,86.934321
-22.9,84,87.180319
-57.6,75,87.387322
12.35,87,87.58532
-198.85,76,87.798319
-78.9,58,87.930319
-81.55,83,88.179317
-69.8,79,88.509322
51.4,81,88.812514
-29.6,78,89.118518
8.35,61,89.274519
-8.95,83,89.581519
-54.0,100,90.066518
-117.85,99,90.301516
1.8,76,90.562519
-9.95,96,90.832519
-41.55,80,91.008519
62.15,68,91.197517
-99.3,77,91.421517
-69.55,69,91.583518
-94.05,65,91.78903
56.9,74,92.074022
-170.45,89,92.315024
-163.35,59,92.437034
49.45,84,92.604022
-48.6,85,92.79502
-94.0,63,92.989021
-52.6,75,93.250021
-39.25,101,93.650027
-104.25,85,93.842022
-37.55,81,94.011022
50.9,90,94.198022
-19.0,91,94.442022
-106.6,97,94.826335
-95.0,82,95.174332
16.7,87,95.368332
69.9,71,95.587331
-62.45,67,95.747331
-82.0,100,96.032336
-82.65,74,96.24933
-65.2,87,96.452331
-61.25,89,96.681331
-159.6,78,96.837328
31.4,95,97.014329
-95.15,92,97.272333
83.75,80,97.497333
53.4,77,97.636342
-75.0,84,97.930811
-7.85,80,98.160821
