#{"t_start": 1785071243.3089452, "env_id": "None"}
r,l,t
-123.3,81,0.182995
-230.65,74,0.378996
-363.4,93,0.604996
-295.85,94,0.996265
-177.5,77,1.194263
-239.0,82,1.352265
-238.25,86,1.577266
-309.4,77,1.766265
-194.75,72,1.890267
-33.45,74,2.079263
-198.95,80,2.242271
-242.0,74,2.428263
-189.35,72,2.613264
-266.7,82,2.750264
-269.35,91,3.025276
-235.8,83,3.187265
-255.05,90,3.329263
-236.3,76,3.488267
-291.95,76,3.618275
-172.15,114,3.833266
-214.25,83,4.007821
-67.25,94,4.198818
-288.5,86,4.32882
-212.3,78,4.487819
-257.15,88,4.81182
-282.6,70,4.954835
-110.35,92,5.132823
-99.85,81,5.300819
-287.5,102,5.478815
-348.1,82,5.660819
-73.8,70,5.803818
-128.9,92,5.94683
-135.8,92,6.12982
-218.1,106,6.33482
-215.35,80,6.453818
-192.1,74,6.622821
-124.65,83,6.783527
-180.8,87,6.915529
-164.55,90,7.097529
-195.75,81,7.261528
-124.8,77,7.382528
-124.3,81,7.543538
-120.05,77,7.71353
-163.15,70,7.830531
-121.7,105,8.02853
-205.2,77,8.320527
-92.9,68,8.430528
-273.75,78,8.588529
-123.45,106,8.796533
-27.95,112,8.965529
-271.75,92,9.145528
-232.65,87,9.32653
-273.65,97,9.512529
-138.75,76,9.629529
-68.05,72,9.800529
-119.45,79,9.926061
-286.45,86,10.09207
-214.0,83,10.27305
-106.0,106,10.44506
-212.3,80,10.64905
-126.6,105,10.917051
-147.0,93,11.097049
-221.2,78,11.228051
-115.75,96,11.424051
-129.65,82,11.58905
-208.8,90,11.732049
-207.15,103,12.070049
-9.1,86,12.243049
-156.55,71,12.369051
-292.95,77,12.521052
-195.5,81,12.683049
-282.85,94,12.82933
-392.15,64,12.975336
-213.05,76,13.098335
-142.5,86,13.267346
-229.4,86,13.446334
-62.95,83,13.583334
-236.3,89,13.75334
-177.65,86,13.94733
-88.85,94,14.132333
-197.4,74,14.278331
-42.8,88,14.475332
-269.55,77,14.599333
-136.7,101,14.802333
-146.8,83,14.970332
