#{"t_start": 1785074010.739854, "env_id": "None"}
r,l,t
-287.2,88,0.206009
-265.15,87,0.374996
-36.45,86,0.549001
-81.6,70,0.696998
-185.7,88,0.809002
-112.7,85,0.950994
-111.65,78,1.048001
-263.4,82,1.170003
-216.65,80,1.276445
-260.05,109,1.423445
-180.25,98,1.552444
-150.95,70,1.644443
-190.85,73,1.735445
-165.95,96,1.970448
-359.9,80,2.071448
-246.0,100,2.210444
-218.15,74,2.306446
-255.85,96,2.430447
-132.1,71,2.531444
-207.8,84,2.642448
-216.15,84,2.750451
-253.8,79,2.867442
-236.15,76,2.963446
-148.8,77,3.063446
-226.75,102,3.199442
-158.85,89,3.309445
-233.5,95,3.436439
-94.9,86,3.55945
-208.75,71,3.654445
-120.85,71,3.744445
-16.1,89,3.855446
-148.1,82,3.962439
-288.6,71,4.075445
-221.15,82,4.180408
-369.65,100,4.325916
-184.4,72,4.434923
-101.6,81,4.541922
-277.05,77,4.647918
-204.0,89,4.785917
-189.35,92,4.910922
-140.0,84,5.015918
-226.3,96,5.151918
-199.05,89,5.268919
-179.8,77,5.386917
-140.55,99,5.521922
-121.8,91,5.644913
-195.05,86,5.776919
-119.3,86,5.89092
-151.35,77,5.984922
-148.95,97,6.115922
-23.5,72,6.223918
-75.35,81,6.321921
-208.45,82,6.431918
-138.1,92,6.555919
-133.45,105,6.697916
-150.2,98,6.820917
-206.55,74,6.916916
-45.05,102,7.057919
-152.65,74,7.179916
-131.8,80,7.299087
-142.0,75,7.394087
-94.1,84,7.524087
-191.35,69,7.62409
35.9,78,7.728088
-107.6,82,7.833087
-117.5,93,7.965084
-267.45,68,8.061086
-132.9,99,8.199087
-196.2,96,8.325088
-86.5,108,8.484086
-61.6,83,8.593087
-166.6,75,8.69912
-144.1,84,8.81609
-154.45,70,8.911087
-62.0,98,9.037083
-68.25,81,9.138088
-236.5,96,9.262087
-160.05,66,9.357086
-146.9,79,9.456088
-91.4,83,9.572084
-197.6,96,9.698082
-186.05,79,9.806089
-160.55,70,9.916088
-120.4,65,9.998085
-36.0,95,10.123088
-128.4,86,10.2462
-129.05,101,10.393193
-137.35,88,10.506196
-43.7,71,10.605199
-105.2,84,10.711195
-78.25,86,10.819196
-78.25,78,10.930197
-53.95,98,11.068195
-180.5,74,11.158196
50.9,87,11.276195
47.05,81,11.393196
-111.05,85,11.514196
-91.65,78,11.620195
-69.7,81,11.836202
-107.85,80,11.951199
-74.2,99,12.082196
-192.7,98,12.212191
-218.9,85,12.329196
-79.7,74,12.438196
-136.25,90,12.567194
54.6,79,12.673197
14.3,77,12.772193
17.25,74,12.870199
-157.25,77,12.9702
-142.95,95,13.097195
-90.4,84,13.217203
-159.3,112,13.373711
-211.6,82,13.48371
18.5,116,13.640708
-62.0,89,13.760711
-53.7,60,13.845708
-12.3,84,13.951706
58.65,80,14.048711
132.95,90,14.201706
-4.4,60,14.290705
-37.6,77,14.399707
19.75,84,14.512705
-37.05,80,14.619708
-26.05,106,14.757708
-26.25,82,14.859708
-90.6,98,15.008712
-1.2,75,15.110708
-68.85,66,15.22171
-16.5,96,15.345707
-77.55,83,15.450702
2.25,75,15.547707
-153.55,83,15.654709
6.15,79,15.765707
-129.35,80,15.870706
-20.5,78,15.965711
-62.05,86,16.087712
-21.3,88,16.212801
16.1,69,16.361879
34.5,92,16.554871
30.45,73,16.78487
-27.7,75,16.986869
29.65,92,17.215874
35.4,91,17.518877
-14.55,74,17.791872
117.65,65,17.992881
58.55,74,18.246875
-51.5,97,18.529873
-44.05,67,18.689873
-76.15,92,18.910874
-81.55,89,19.133874
24.05,63,19.277872
-79.25,91,19.514299
71.25,80,19.680293
-77.35,89,19.837294
42.6,98,19.977292
1.25,93,20.115294
-71.35,80,20.216292
55.9,80,20.330297
20.95,89,20.469293
43.65,87,20.619293
4.5,87,20.736293
20.05,72,20.832293
3.3,74,20.934293
-15.3,76,21.045293
5.4,88,21.163294
56.65,84,21.268294
-59.05,90,21.390296
24.0,77,21.49229
112.7,77,21.701296
41.25,70,21.791299
1.15,75,21.897294
94.1,103,22.035295
122.65,69,22.123296
53.5,62,22.217345
134.05,91,22.339049
-24.05,101,22.480054
-56.45,90,22.603051
140.1,77,22.708065
52.5,77,22.803051
-122.15,80,22.930045
40.25,85,23.055048
128.15,81,23.162055
18.55,82,23.27605
51.2,78,23.380048
-35.2,87,23.503049
-33.4,84,23.62205
107.45,72,23.71905
-3.7,84,23.836053
99.85,70,23.932051
21.6,65,24.017067
0.75,79,24.11505
-18.3,95,24.245055
-39.55,85,24.368064
79.35,83,24.48105
185.55,96,24.60405
26.05,72,24.696051
109.2,85,24.817053
36.85,85,24.91905
118.1,96,25.050048
54.45,93,25.182048
70.95,96,25.301055
109.4,71,25.399581
182.1,87,25.526581
44.0,85,25.632583
108.95,75,25.724583
-57.5,70,25.815582
90.45,67,25.903583
-2.05,100,26.048583
54.4,100,26.17958
92.6,71,26.276585
-30.4,87,26.397583
94.35,76,26.514579
107.55,76,26.614582
19.4,96,26.738582
15.55,70,26.826581
93.2,104,26.97558
152.3,75,27.068582
153.25,88,27.181584
81.7,81,27.292594
61.55,87,27.398582
132.35,80,27.518581
139.6,86,27.62658
28.2,90,27.745581
96.65,80,27.854596
-50.3,91,27.99258
64.1,68,28.080582
105.45,70,28.17158
140.15,84,28.284318
122.5,78,28.397323
59.85,80,28.508325
114.0,75,28.612324
136.55,75,28.699327
-38.9,70,28.807325
107.95,66,28.890327
122.35,93,29.009329
20.25,91,29.130324
136.35,69,29.224319
78.5,89,29.362324
106.65,78,29.477327
81.75,83,29.588327
43.4,72,29.705326
46.25,83,29.813324
151.1,87,29.926328
201.55,71,30.030323
174.15,97,30.159328
70.35,89,30.276324
157.0,76,30.399323
108.65,71,30.507325
102.1,88,30.747324
51.35,84,30.855325
73.6,76,30.948324
137.25,94,31.086323
188.85,90,31.210323
184.55,81,31.317322
230.25,96,31.454796
162.65,80,31.562795
85.1,71,31.654796
148.25,78,31.772796
142.45,72,31.867795
132.25,77,31.977795
66.1,59,32.049794
78.25,79,32.151794
143.75,104,32.307794
100.4,80,32.413793
148.15,79,32.523797
112.75,74,32.616791
129.2,105,32.757792
202.45,94,32.878795
179.95,69,32.975795
161.45,72,33.058795
176.95,75,33.158794
134.3,73,33.262796
52.3,95,33.403795
119.25,63,33.488795
170.05,89,33.598799
148.55,74,33.698794
240.95,79,33.816794
146.8,80,33.929792
109.9,90,34.043799
105.2,70,34.133794
167.75,89,34.267865
145.5,79,34.406917
104.3,75,34.513922
157.6,83,34.621918
168.4,100,34.750913
185.4,108,34.889919
97.4,67,34.982917
59.15,87,35.092917
96.6,76,35.199917
98.85,81,35.312917
188.9,74,35.417916
125.4,75,35.520916
83.65,67,35.612914
180.3,92,35.731917
226.85,86,35.839918
85.5,74,35.937921
84.1,94,36.077917
83.85,78,36.181917
214.55,71,36.27492
144.2,79,36.387917
213.95,61,36.473919
173.25,89,36.61492
169.75,80,36.720917
103.95,71,36.824918
139.8,111,36.960915
199.9,85,37.077922
190.0,86,37.180914
155.15,79,37.28292
196.1,73,37.381921
122.85,71,37.495383
297.85,87,37.633378
146.3,76,37.735385
212.65,86,37.857387
200.6,90,37.994381
135.85,81,38.100381
176.15,63,38.181384
196.9,77,38.28039
241.6,72,38.376382
98.7,102,38.51538
280.9,90,38.637382
157.8,75,38.740382
40.85,80,38.83538
197.3,73,38.937386
61.8,75,39.031381
192.35,114,39.194381
104.8,69,39.286379
140.5,98,39.414386
118.8,67,39.500377
223.8,110,39.642381
189.15,72,39.748377
119.0,76,39.846382
263.05,86,39.953381
116.5,96,40.071382
209.35,90,40.20938
271.4,66,40.294449
197.9,93,40.421502
167.75,90,40.533511
125.2,99,40.660507
306.2,82,40.836515
35.4,70,40.961506
199.65,76,41.058507
267.9,87,41.170506
143.95,72,41.276513
158.3,76,41.375505
148.45,95,41.509508
151.55,78,41.618505
171.2,67,41.707508
199.85,95,41.847507
184.5,79,41.951512
168.55,74,42.058506
123.75,87,42.173506
57.25,85,42.280512
139.2,81,42.407516
230.15,88,42.531511
196.75,66,42.614507
194.2,90,42.723506
296.1,66,42.810507
90.95,70,42.913509
90.2,86,43.020511
162.5,79,43.120507
151.45,76,43.211512
139.65,98,43.331511
288.0,84,43.586742
161.15,91,43.728745
236.9,78,43.821745
158.9,83,43.931746
188.85,70,44.02974
315.1,75,44.140745
226.2,75,44.234745
227.25,95,44.361743
254.7,73,44.499745
162.25,80,44.595745
113.1,89,44.714748
98.9,90,44.827745
258.3,68,44.919744
177.4,87,45.038743
191.85,88,45.149748
173.2,101,45.297748
199.1,86,45.411739
226.2,66,45.502749
212.7,85,45.615745
239.8,65,45.703742
216.65,73,45.794745
268.65,79,45.900742
216.8,82,46.010745
212.9,74,46.103745
195.1,80,46.207742
200.75,73,46.300693
175.65,80,46.413755
255.1,92,46.549752
173.45,83,46.668758
215.65,82,46.778759
85.9,71,46.873772
159.1,69,46.964761
239.55,86,47.075757
235.4,76,47.194756
77.75,114,47.342756
122.1,59,47.438756
109.85,59,47.525757
233.6,96,47.634756
144.3,70,47.741761
184.9,98,47.865761
266.1,76,47.964761
245.8,76,48.06176
320.8,78,48.155754
224.15,79,48.262756
139.15,81,48.373759
201.15,77,48.475761
176.05,109,48.616756
241.1,83,48.735757
273.5,90,48.851751
247.25,82,48.964755
187.3,80,49.061757
244.05,102,49.197755
265.9,80,49.324759
256.95,68,49.418754
323.15,92,49.546293
170.7,73,49.633288
286.0,75,49.742293
180.45,63,49.824296
250.1,70,49.925297
168.8,55,50.001293
171.05,84,50.107291
129.2,77,50.204296
111.1,96,50.370293
187.35,84,50.481293
275.7,81,50.741294
315.7,73,50.838293
242.85,71,50.939294
130.15,88,51.051296
63.75,86,51.169296
188.6,67,51.272297
242.05,70,51.37629
209.1,84,51.490295
162.1,90,51.605295
154.3,92,51.724294
246.7,86,51.844293
161.9,88,51.965297
167.65,80,52.069298
291.85,81,52.175292
241.6,88,52.287293
190.6,67,52.37829
188.15,82,52.501296
215.55,116,52.6443
172.95,105,52.7803
228.35,62,52.862299
260.8,92,52.984296
150.3,93,53.098295
282.4,69,53.187299
231.4,75,53.286296
300.85,89,53.42129
194.55,77,53.522294
116.2,74,53.620296
194.2,82,53.732295
186.45,68,53.822297
74.25,92,53.950321
337.75,83,54.062291
134.7,80,54.1633
269.2,85,54.270296
197.05,87,54.377293
263.65,92,54.50429
204.65,88,54.620296
154.75,80,54.728299
174.05,79,54.833296
278.3,86,54.944295
133.9,85,55.050298
280.7,107,55.197294
170.45,113,55.340297
246.4,79,55.458299
259.45,89,55.575811
158.4,74,55.695814
145.05,68,55.790814
342.05,96,55.910819
250.8,85,56.025814
229.15,99,56.158818
197.45,73,56.247813
258.25,91,56.362813
190.05,82,56.478814
184.2,74,56.571814
291.25,74,56.674815
214.0,74,56.772814
162.0,81,56.918816
156.65,88,57.083814
153.8,86,57.208817
283.75,82,57.33582
257.75,79,57.462812
220.35,88,57.564818
275.45,97,57.692812
191.2,87,57.811813
212.7,81,57.945809
240.45,89,58.050818
189.05,71,58.165813
232.8,88,58.283818
149.3,95,58.414551
277.05,85,58.532551
249.75,71,58.626558
215.8,72,58.717552
211.15,83,58.833551
142.05,72,58.926551
217.55,72,59.024564
275.75,62,59.117551
242.65,94,59.237549
160.0,98,59.366556
178.0,76,59.475549
266.3,78,59.582549
283.0,83,59.682551
242.15,85,59.791552
227.15,64,59.884552
186.05,83,60.003551
205.9,80,60.111551
330.5,68,60.198556
237.7,91,60.445549
177.75,86,60.570547
251.5,78,60.669547
208.35,86,60.784551
298.45,79,60.880548
317.05,87,60.997552
296.3,73,61.094551
197.45,77,61.18955
223.1,81,61.331549
174.5,78,61.466551
249.2,88,61.60307
181.75,80,61.709075
201.4,72,61.80107
239.1,91,61.921067
304.7,92,62.052071
195.5,87,62.167071
198.7,92,62.287069
262.75,65,62.376066
203.45,83,62.488072
203.8,94,62.614066
227.25,89,62.724071
246.15,79,62.829078
180.6,99,62.961071
209.35,82,63.064071
267.1,100,63.18607
148.75,69,63.282075
212.05,74,63.377072
266.8,80,63.497071
271.45,73,63.609075
233.9,92,63.727077
206.05,102,63.85007
281.3,81,63.954071
208.6,76,64.047071
328.4,78,64.16707
279.35,77,64.29807
245.85,76,64.404691
292.05,92,64.53423
248.4,105,64.671236
323.3,77,64.765236
221.25,68,64.852232
363.45,81,64.967231
288.2,75,65.083231
236.55,84,65.20023
231.25,89,65.34023
236.95,70,65.43923
257.65,88,65.54623
230.3,59,65.626236
257.1,78,65.733231
260.9,68,65.819232
301.75,83,65.926232
308.55,83,66.036236
256.75,80,66.131233
318.3,71,66.233227
284.4,90,66.400232
231.1,84,66.501226
241.7,80,66.608236
248.45,81,66.712234
278.1,78,66.824232
160.05,75,66.930231
303.05,68,67.016232
280.6,88,67.134232
262.8,63,67.220236
199.7,106,67.365234
239.55,104,67.501745
278.55,71,67.593747
253.0,91,67.706749
266.0,72,67.814748
132.8,99,67.944747
233.6,71,68.035747
215.55,88,68.152746
320.55,85,68.270746
359.8,77,68.370742
300.45,75,68.482752
269.5,88,68.594746
289.65,68,68.688747
278.65,74,68.777748
238.85,77,68.896755
259.55,81,68.988749
329.7,78,69.096754
295.6,83,69.214747
272.6,64,69.297747
293.75,80,69.407752
220.55,70,69.498747
275.4,77,69.596752
210.05,73,69.702746
220.45,71,69.786749
233.6,79,69.894747
229.5,83,70.116746
318.0,95,70.243747
271.3,74,70.345742
270.55,90,70.487838
259.05,103,70.617835
340.75,85,70.730839
290.05,85,70.836834
275.75,119,70.993839
333.1,92,71.104834
