#{"t_start": 1785071666.1874785, "env_id": "None"}
r,l,t
-233.6,114,0.248998
-211.05,103,0.509999
-158.75,72,0.679998
-140.55,84,0.844998
-400.5,90,1.062997
-244.45,86,1.236001
-269.4,88,1.449997
-122.6,80,1.720002
-265.3,75,1.917999
-190.9,97,2.110012
-270.5,77,2.303002
-276.15,100,2.494998
-235.2,94,2.710333
-104.75,89,2.885397
-230.8,88,3.0544
-239.9,93,3.276397
-290.7,91,3.502398
-226.25,79,3.674409
-188.65,91,3.877396
-196.35,84,4.041405
-227.85,76,4.196396
-215.55,85,4.396398
-173.45,86,4.559398
-206.85,91,4.867398
-307.35,108,5.068398
-266.95,71,5.220397
-258.05,94,5.445412
-191.05,84,5.667399
-178.25,83,5.83334
-82.25,97,6.055875
-185.0,88,6.223886
-196.1,86,6.428875
-234.55,79,6.591875
-250.6,87,6.760874
-173.05,77,6.909877
-109.4,91,7.115893
-178.1,85,7.281874
-327.55,73,7.430874
-245.4,66,7.702877
-196.3,85,7.909875
-206.8,86,8.079874
-228.15,77,8.240878
-185.35,66,8.381876
-261.95,75,8.543875
-130.2,103,8.785247
-175.85,79,8.946246
-9.5,72,9.091257
-158.65,81,9.289244
-112.7,70,9.462246
-232.75,71,9.631244
-300.25,85,9.802244
-147.3,77,9.966246
-229.7,77,10.310248
-193.15,83,10.493247
-303.55,63,10.622245
-43.6,86,10.78826
-226.5,77,10.961245
-245.5,78,11.202245
-109.65,75,11.371244
-108.8,88,11.553244
-204.15,86,11.747245
-278.75,97,11.931792
-217.15,85,12.091796
-142.65,72,12.235787
-111.65,82,12.435788
-59.15,84,12.719799
-188.85,79,12.879787
-149.2,97,13.11079
-223.15,92,13.286788
-226.7,77,13.454788
-121.25,71,13.64379
-165.75,77,13.794787
-250.0,73,13.942786
-300.0,87,14.1078
-190.8,73,14.249787
-175.45,94,14.467789
-201.2,97,14.663789
-229.6,96,14.881449
-217.2,95,15.16046
-170.6,88,15.357443
-259.55,73,15.514444
-187.25,81,15.684441
-17.85,85,15.885441
-125.1,69,16.030449
-132.15,80,16.194444
-180.95,72,16.345443
-220.25,77,16.497442
-161.1,81,16.660441
-214.15,75,16.851442
-244.45,79,17.011442
-144.85,85,17.169441
-222.5,70,17.314443
-120.75,82,17.613443
-175.65,81,17.802438
-180.6,72,18.002989
-240.2,95,18.205975
-139.6,91,18.426975
-257.05,93,18.612975
-168.5,84,18.807973
-237.05,102,18.998978
-187.7,94,19.212975
-119.55,100,19.401974
-152.5,87,19.604974
-187.85,79,19.764975
-148.45,80,19.932974
-193.85,84,20.203986
-123.05,85,20.407977
-214.4,68,20.557986
-85.5,93,20.731289
-27.1,74,20.878353
-236.1,69,21.020351
-217.25,71,21.206351
-147.15,70,21.358373
-312.9,88,21.574363
-73.05,84,21.790351
-308.2,100,22.201354
-195.85,74,22.418355
-148.25,71,22.600361
-85.2,87,22.831354
-50.05,81,23.172353
-111.55,80,23.365353
-69.3,75,23.544353
-254.2,87,23.760353
-19.55,80,23.932873
-84.4,92,24.114872
-117.25,91,24.327874
-202.4,103,24.522871
-118.1,74,24.669872
-128.0,74,24.857873
-107.35,72,25.012872
-200.85,72,25.161873
-178.25,80,25.32287
-229.15,73,25.488875
-200.0,74,25.766873
-75.1,93,25.981871
-136.85,100,26.170876
-210.5,63,26.301872
-131.35,71,26.484873
-67.55,77,26.64687
-217.55,82,26.812046
-17.9,78,26.969045
-166.45,96,27.178048
-49.0,113,27.384046
-92.9,72,27.570046
-99.75,63,27.696049
-88.3,70,27.848047
-63.35,84,28.08605
51.9,101,28.333047
-77.1,61,28.470045
-203.15,73,28.623046
-393.2,65,28.762049
-84.65,75,28.916047
-111.05,70,29.057044
-261.95,98,29.237045
-41.05,77,29.431046
-221.7,74,29.578046
-74.85,87,29.737045
-84.5,78,29.902565
-216.05,89,30.105572
-124.25,71,30.274577
-111.95,75,30.555567
-274.35,80,30.714567
-75.15,98,30.947566
-134.0,97,31.127565
-63.85,80,31.320566
-136.3,90,31.499567
-237.55,76,31.649566
-261.9,80,31.808583
-138.5,80,32.002564
-174.75,81,32.159567
-88.2,72,32.304565
-159.25,91,32.516565
-284.35,96,32.73558
-119.6,71,32.966941
-213.9,85,33.13694
29.0,84,33.412939
-73.6,65,33.573941
-115.0,97,33.74894
-96.6,66,33.899942
-19.4,87,34.10094
-192.35,87,34.26994
-236.1,81,34.43994
-209.35,88,34.629939
-96.0,74,34.762939
-119.3,80,34.952937
-201.7,89,35.259941
-31.95,73,35.444946
-102.45,77,35.640942
-300.4,85,35.854943
-152.2,87,36.145468
-229.25,77,36.322467
-92.05,87,36.497468
-143.95,81,36.655467
-158.95,84,36.851466
-182.7,77,36.999468
-47.8,82,37.173468
-157.5,78,37.323483
-12.6,74,37.502465
-69.35,70,37.646469
-62.65,78,37.932467
-85.6,60,38.069468
-79.05,86,38.243465
-88.4,91,38.448468
-48.4,93,38.644468
-107.65,80,38.820708
-53.45,88,39.036767
-50.85,75,39.192777
-33.5,79,39.350767
-148.75,106,39.575768
-156.2,76,39.722769
-89.3,77,39.886768
-47.2,78,40.035768
-89.8,72,40.185771
-179.0,94,40.532768
-3.8,83,40.711769
-4.1,87,40.91677
-131.2,77,41.132768
-33.55,90,41.322767
-203.3,90,41.534768
-133.65,90,41.704767
-179.15,92,41.876768
-78.45,63,42.0103
-36.3,74,42.192292
-107.8,73,42.345294
-134.85,74,42.497293
-29.65,80,42.66129
58.6,76,42.943305
-368.3,75,43.098291
-12.5,83,43.302294
-90.45,75,43.457292
-73.0,71,43.616294
-3.0,74,43.777293
-291.45,81,43.935292
-200.75,63,44.065293
-112.25,91,44.287293
-147.4,89,44.455292
-101.45,96,44.675292
-20.85,76,44.833427
-154.55,75,44.979487
-89.65,79,45.129485
-128.05,97,45.454484
-175.45,74,45.601491
-195.75,87,45.777499
-77.35,110,46.007483
-62.45,72,46.148484
-63.3,73,46.306485
-148.15,72,46.497491
-103.75,105,46.688482
-157.65,90,46.892486
-208.0,82,47.051498
-58.25,91,47.218485
-84.4,72,47.377484
-93.05,74,47.621486
-135.2,86,47.841485
-34.1,90,48.018017
-112.5,73,48.156017
-55.35,68,48.322016
-130.05,78,48.539015
46.0,88,48.750018
-80.35,66,48.917019
-94.1,94,49.129019
60.15,92,49.299017
-96.8,90,49.48002
-186.5,67,49.621018
-61.3,70,49.798018
-18.85,69,49.948017
-110.35,89,50.24602
-58.75,68,50.392029
-46.8,78,50.556019
-188.9,62,50.696019
-82.5,77,50.842214
-16.1,63,50.981264
-163.4,71,51.154262
-172.35,63,51.287263
-80.7,101,51.474263
-67.75,115,51.711264
-159.85,80,51.862262
9.55,91,52.068262
-146.95,71,52.210263
-109.3,74,52.447264
-171.45,75,52.624263
83.1,89,52.802262
-115.1,91,53.01926
-137.1,81,53.170264
-69.65,74,53.321262
-47.4,98,53.557263
-30.1,75,53.719261
-41.6,73,53.887262
-34.8,72,54.048779
-170.7,60,54.174784
-177.05,89,54.382778
-74.55,88,54.561778
-102.45,88,54.729782
-156.25,70,55.023778
-123.6,84,55.225778
-72.3,84,55.43578
2.25,90,55.651781
-93.4,95,55.907781
-92.65,92,56.129779
-136.3,63,56.266778
-63.05,68,56.404778
-118.6,70,56.621778
-99.15,103,56.816778
-84.65,71,56.966002
-183.15,93,57.187003
-107.45,74,57.334003
-45.9,73,57.627004
-3.3,81,57.814004
-12.55,81,58.062004
-52.05,74,58.228004
-11.75,72,58.385002
-149.45,77,58.588004
-80.85,82,58.777016
-59.3,84,59.019013
-61.3,75,59.212003
86.9,83,59.377002
-19.6,66,59.513002
-31.9,79,59.675006
-16.5,88,59.883003
-125.65,70,60.078526
-98.95,100,60.331528
-237.9,77,60.51754
-23.05,99,60.711523
-17.8,91,60.935528
-52.4,67,61.080523
-227.3,69,61.221528
-109.7,73,61.374526
-101.7,61,61.500525
-178.5,61,61.626528
-119.7,70,61.811532
-142.55,72,61.968526
-66.45,86,62.141528
2.55,83,62.338526
-73.35,72,62.572528
-158.25,87,62.776527
-180.8,55,62.907215
-0.6,90,63.084738
-91.85,99,63.320736
-90.0,84,63.48374
-67.15,81,63.651738
-119.35,73,63.843763
-129.15,84,64.017737
-21.3,75,64.167739
-85.1,82,64.390737
-3.55,72,64.598741
71.75,66,64.83675
-84.4,86,65.064737
14.2,59,65.346756
-19.15,81,65.599739
-171.55,78,65.785737
-70.85,106,66.103257
-83.15,77,66.269258
-22.85,103,66.490258
-69.5,72,66.65926
-69.15,69,66.83726
49.3,71,66.995259
-148.15,89,67.168257
-83.25,87,67.372259
-50.75,69,67.516259
27.1,75,67.662258
-31.5,89,67.841259
52.65,79,68.161265
-93.85,78,68.323259
-115.5,82,68.488256
-60.2,108,68.735272
-88.35,72,68.896816
-69.25,86,69.064881
-76.25,80,69.27288
-154.95,84,69.44988
-136.1,72,69.59688
-28.25,75,69.742881
18.2,89,69.959884
-24.95,76,70.111881
32.15,72,70.25188
-135.6,78,70.487881
-82.55,72,70.649881
-99.1,77,70.820884
-122.85,84,71.028877
-14.05,84,71.203882
-57.2,106,71.43588
12.2,77,71.595882
-14.5,64,71.728883
-9.1,72,71.86888
-70.65,77,72.020881
-116.3,71,72.168426
-52.95,78,72.35242
-90.2,68,72.49742
-4.4,69,72.638422
-154.0,88,72.866423
-18.5,64,73.040422
-92.25,98,73.258421
-56.55,74,73.414421
-26.6,74,73.571419
-142.8,75,73.727431
-87.45,89,73.899419
-35.4,70,74.08342
41.75,104,74.282421
-47.0,89,74.498421
-169.2,83,74.65742
-52.7,80,74.819426
-38.75,89,75.035104
13.55,96,75.328105
-1.3,83,75.580104
-12.5,78,75.791103
5.0,78,75.967105
-32.8,77,76.135106
-46.3,76,76.290103
-61.3,89,76.505106
-62.45,70,76.647104
-29.75,71,76.786103
16.05,69,76.931101
3.8,87,77.103105
76.9,78,77.259106
-87.7,95,77.472102
-24.8,90,77.648103
-36.1,79,77.939101
-23.35,78,78.160631
56.75,100,78.363628
-11.8,71,78.571631
-14.2,85,78.771626
-67.45,78,78.921625
134.5,89,79.095627
67.2,82,79.295628
3.2,91,79.468637
-112.35,94,79.684628
-90.85,80,79.840627
-3.25,87,80.002628
-13.0,71,80.157629
24.45,83,80.440628
-90.9,79,80.601628
-112.55,75,80.765628
-66.3,79,80.933699
-22.55,64,81.064775
-81.7,86,81.269778
-8.6,79,81.435773
-122.45,78,81.586775
-61.1,61,81.719784
24.4,70,81.859779
-152.35,79,82.010777
0.1,78,82.157772
-262.25,78,82.387778
-91.8,90,82.615799
-39.65,95,83.018774
66.0,97,83.293778
-134.0,79,83.474775
-35.35,70,83.632775
-38.3,90,83.850774
-3.1,68,84.001778
-33.15,89,84.171298
40.5,61,84.303311
-72.5,106,84.5353
-58.55,90,84.702298
-126.7,92,84.908315
-9.65,72,85.056298
-28.7,80,85.20931
-81.6,97,85.4183
-64.85,91,85.6953
-176.1,90,85.8733
-26.95,80,86.082298
-45.3,63,86.215299
-93.6,76,86.3703
-100.1,79,86.525327
-80.8,62,86.661309
-59.95,79,86.8153
-49.2,87,87.038647
-124.9,80,87.194649
-5.6,72,87.33965
-5.9,83,87.502648
76.35,82,87.703648
-86.25,75,87.852645
-54.2,72,88.059656
26.7,68,88.238651
-42.8,83,88.430648
-66.75,76,88.612649
-139.2,84,88.82665
6.75,81,88.991648
-70.5,81,89.153647
-27.9,92,89.369645
-139.25,93,89.551648
-119.15,95,89.766651
-110.2,77,89.915649
-12.6,84,90.084179
-72.1,89,90.29318
-14.5,69,90.51918
74.15,91,90.719178
-23.7,90,90.924178
-67.8,68,91.080183
-118.2,89,91.250177
-109.2,88,91.418179
-135.6,60,91.548178
-91.2,89,91.752176
-29.75,67,91.891176
-51.5,100,92.09218
-32.65,74,92.234179
-58.2,75,92.464183
6.15,74,92.637178
48.1,60,92.768176
