#{"t_start": 1785073819.9365294, "env_id": "None"}
r,l,t
-187.05,86,0.199998
-259.4,84,0.367998
-80.7,94,0.583998
-159.55,68,0.719998
-93.0,69,0.864
-74.45,83,1.046001
-129.65,80,1.206002
-114.0,78,1.373997
40.75,88,1.544998
-90.95,88,1.724
5.7,86,1.909004
-146.55,80,2.066996
6.4,76,2.239998
-92.55,70,2.379997
-60.75,76,2.5371
122.8,68,2.684095
32.75,70,2.822095
-101.6,79,2.991097
8.65,83,3.162098
37.25,67,3.308096
-81.55,61,3.430096
67.45,81,3.699097
60.9,70,3.841096
51.0,89,4.020099
73.4,78,4.177098
41.05,79,4.354099
107.7,89,4.526096
62.65,70,4.664095
133.7,68,4.806096
121.1,72,4.954095
122.1,88,5.136101
52.7,82,5.299096
73.25,97,5.492097
67.8,70,5.634588
147.9,88,5.808585
190.4,82,5.971587
120.75,79,6.128592
168.65,81,6.291589
209.35,67,6.444586
80.6,65,6.575587
149.1,72,6.72159
189.9,83,6.897589
137.6,89,7.076587
228.7,82,7.240587
96.1,84,7.404587
168.4,84,7.578589
56.8,89,7.790588
213.2,62,7.914588
205.9,101,8.117588
215.05,80,8.287593
137.85,73,8.454743
118.65,65,8.591468
224.35,82,8.756469
95.75,115,8.990469
97.25,92,9.179469
230.75,92,9.365468
193.2,105,9.571467
262.5,74,9.733472
220.7,75,9.881468
189.0,81,10.046466
191.0,82,10.217467
138.25,87,10.386467
253.0,97,10.607471
259.7,87,10.788466
321.5,58,10.901468
171.35,69,11.044468
238.45,90,11.224468
217.75,75,11.383467
299.8,73,11.537467
302.1,75,11.689938
220.45,84,11.863936
291.1,89,12.038937
198.9,83,12.210938
226.1,80,12.366937
315.85,68,12.513939
348.7,68,12.660935
147.5,74,12.810936
280.1,86,13.009936
259.15,77,13.287944
267.7,96,13.49594
286.1,66,13.630935
253.35,76,13.781935
337.7,99,13.980942
340.65,92,14.167935
244.1,87,14.344934
333.25,81,14.508034
300.4,84,14.67703
322.8,66,14.830032
251.05,61,14.952032
274.45,58,15.080036
287.45,75,15.245034
284.8,77,15.396034
255.15,99,15.599033
313.0,91,15.782035
235.7,90,15.976033
280.45,62,16.107032
266.95,99,16.297032
286.6,73,16.446033
236.35,101,16.646033
278.2,80,16.825035
242.05,93,17.016048
304.2,86,17.195033
274.4,77,17.346033
334.75,80,17.510033
305.15,77,17.675559
264.35,82,17.84956
242.0,84,18.024558
312.8,72,18.169558
269.95,83,18.344558
227.85,90,18.526559
209.95,72,18.668559
259.0,90,18.864558
264.0,73,19.017559
297.1,72,19.165559
362.4,76,19.324562
355.7,80,19.484559
356.4,100,19.748557
316.05,81,19.954558
305.45,66,20.080558
290.05,94,20.279557
409.0,74,20.424558
298.7,78,20.583688
391.4,73,20.7337
409.0,83,20.897689
327.75,96,21.11669
256.45,78,21.277689
292.0,89,21.45669
326.85,70,21.60169
305.0,70,21.744694
318.0,83,21.92469
320.65,82,22.087693
279.0,86,22.266689
374.25,85,22.53369
326.2,84,22.705693
295.6,70,22.85069
324.1,89,23.024689
370.0,75,23.182692
337.0,77,23.361689
404.7,86,23.52869
328.65,85,23.707208
341.4,73,23.84821
291.35,79,24.01021
280.8,74,24.161211
400.1,74,24.319208
346.15,68,24.457209
368.2,79,24.61321
409.0,88,24.78921
378.55,97,24.98021
394.05,89,25.155208
300.4,58,25.28821
313.7,94,25.47521
360.95,70,25.612209
342.7,75,25.766211
338.25,86,25.939209
344.2,77,26.100209
365.05,69,26.240209
364.1,76,26.425211
287.55,89,26.610235
360.75,87,26.786237
359.15,93,26.983237
420.7,77,27.138238
370.0,99,27.35524
352.55,97,27.555237
321.55,65,27.681239
491.1,76,27.835236
401.95,84,27.998236
383.0,87,28.181237
341.15,83,28.366237
372.5,68,28.50524
411.15,100,28.789239
370.0,102,29.055237
407.05,89,29.278238
370.0,93,29.473238
406.05,82,29.683642
368.7,83,29.848643
297.2,88,30.031645
412.55,95,30.223642
365.55,61,30.343645
412.4,79,30.512642
391.4,66,30.644644
316.7,78,30.801643
377.9,84,30.966643
350.75,82,31.127643
352.05,69,31.271643
290.85,79,31.429643
352.55,65,31.563643
353.55,92,31.860645
383.0,62,32.004646
313.55,96,32.195642
313.15,75,32.344643
352.2,76,32.510745
316.6,81,32.677807
339.7,77,32.827805
420.7,86,33.001804
357.0,82,33.164803
408.5,92,33.345803
404.55,73,33.499804
371.05,95,33.682804
350.1,78,33.858803
452.1,76,34.016803
448.0,80,34.175805
420.05,87,34.350804
378.4,98,34.549803
364.1,84,34.721809
430.4,87,34.890804
434.65,113,35.124803
348.1,84,35.285804
418.75,77,35.440804
425.95,75,35.592803
417.2,66,35.726321
422.0,82,35.914325
422.0,82,36.08132
417.4,79,36.240321
431.75,71,36.38135
411.95,66,36.518321
332.65,79,36.682322
408.5,77,36.835321
394.2,80,37.000321
369.3,79,37.169321
339.4,83,37.338322
414.15,78,37.492321
456.55,78,37.656321
391.55,62,37.77932
418.8,90,37.996321
429.4,84,38.17232
443.55,92,38.36232
404.7,75,38.512403
382.35,81,38.693457
430.05,75,38.84346
409.0,88,39.026456
404.4,79,39.185461
422.0,74,39.329456
430.4,75,39.483457
424.65,60,39.606458
365.4,82,39.771458
448.0,75,39.935457
396.0,85,40.121458
411.65,84,40.28946
370.7,77,40.447462
413.4,61,40.572459
411.65,78,40.732457
381.2,82,40.911461
422.0,112,41.133458
317.65,86,41.310458
456.4,64,41.438456
403.9,78,41.599457
422.0,81,41.757894
400.1,72,41.904893
404.4,69,42.170899
394.05,107,42.383893
467.45,103,42.593893
427.15,70,42.731898
472.7,86,42.913893
448.0,77,43.078893
472.7,101,43.279896
422.0,87,43.471898
417.4,97,43.666893
448.0,106,43.886892
461.0,99,44.0899
448.0,80,44.264894
420.7,82,44.425892
399.6,74,44.581079
383.0,95,44.773088
420.8,73,44.916091
425.15,75,45.11109
378.4,88,45.307092
438.8,72,45.451091
448.0,70,45.599091
440.95,74,45.751093
461.0,73,45.898092
433.7,75,46.057091
456.55,90,46.236089
472.7,101,46.45409
469.4,89,46.636092
444.1,88,46.805092
382.65,80,46.964091
443.4,64,47.115091
394.05,91,47.302092
487.0,74,47.448089
468.1,84,47.624094
461.0,66,47.75561
426.1,86,47.92661
482.55,65,48.051613
404.4,65,48.18461
395.65,63,48.333612
445.55,87,48.510609
461.0,85,48.681609
422.0,109,48.900612
404.4,74,49.052608
461.0,83,49.226611
424.8,83,49.391609
443.55,71,49.534609
461.0,70,49.673607
435.0,92,49.861611
413.1,91,50.04161
437.15,83,50.217611
482.55,79,50.392609
458.85,86,50.576657
324.6,91,50.758709
421.65,84,50.927709
417.55,82,51.08571
459.35,75,51.241709
443.4,93,51.431722
421.65,80,51.588713
396.0,76,51.745709
412.75,79,52.105718
485.7,83,52.82471
443.4,89,53.089711
474.0,87,53.27571
447.65,67,53.428709
465.1,73,53.593712
455.25,89,53.779231
425.95,85,54.070231
446.7,84,54.362233
377.1,83,54.648243
422.0,88,55.077236
461.0,79,55.515232
409.0,71,56.160231
423.85,61,56.541236
474.0,85,57.395236
477.95,90,57.764236
459.05,77,58.072233
460.65,83,58.798238
465.1,79,59.041236
448.0,90,59.345237
443.55,91,59.586237
434.65,92,59.850553
422.0,85,60.078552
452.1,79,60.353558
474.0,74,60.515555
417.2,79,60.658553
452.1,105,60.868549
407.85,76,61.199557
473.65,67,61.390555
487.0,79,61.699556
435.0,80,62.007557
438.9,69,62.212557
477.0,65,62.495561
482.4,87,62.829071
438.3,88,63.131056
459.7,85,63.432056
434.65,87,63.631052
435.0,84,63.810061
487.0,63,64.023063
408.35,84,64.266061
443.4,68,64.427058
461.0,75,64.612057
448.0,102,65.009058
465.1,110,65.421062
452.1,86,65.850482
421.65,92,66.247478
443.55,86,66.585479
417.4,80,66.862483
378.2,71,67.214489
474.0,93,67.529145
474.0,80,67.814802
469.4,77,68.062924
487.0,86,68.351079
410.3,82,68.615585
422.0,83,68.859367
477.8,98,69.130849
477.95,76,69.344711
442.6,67,69.524458
460.65,80,69.762409
474.0,65,69.930726
443.55,69,70.108281
474.0,67,70.285329
474.0,85,70.511414
487.0,67,70.687479
487.0,93,70.999103
439.1,95,71.268702
487.0,70,71.452768
443.55,68,71.64484
500.0,87,71.860437
474.0,100,72.074513
456.4,78,72.228493
430.4,71,72.413054
451.95,64,72.556118
442.75,67,72.690657
464.15,71,72.843729
447.2,70,72.975265
430.35,92,73.177356
430.4,75,73.431994
456.4,68,73.730616
430.4,83,73.986709
461.0,95,74.28434
425.8,80,74.500431
482.55,80,74.718601
456.4,79,74.87268
452.1,93,75.040763
474.0,109,75.241833
446.85,71,75.361362
412.8,89,75.515916
409.0,89,75.677992
487.0,79,75.822042
443.55,76,75.976636
422.0,73,76.109184
464.95,78,76.258251
452.1,75,76.383801
438.8,84,76.523812
442.9,62,76.636352
456.55,62,76.760889
