#{"t_start": 1785074232.8779845, "env_id": "None"}
r,l,t
-273.1,74,0.155991
-120.85,85,0.311988
-99.0,85,0.483989
-207.05,87,0.703989
-225.3,81,0.865988
-162.8,82,1.024002
-263.3,75,1.15899
-138.1,72,1.305987
-56.95,91,1.461989
-199.15,79,1.609988
-119.65,84,1.75421
6.35,78,1.893209
9.0,86,2.057207
-90.85,73,2.194214
-36.45,78,2.328213
-234.9,70,2.44521
2.85,73,2.57421
-69.25,72,2.702214
-97.15,85,2.85421
1.45,78,3.062227
-51.2,87,3.272209
-24.15,80,3.411211
-183.2,67,3.53221
-16.25,77,3.663211
-75.55,111,3.869209
-94.0,83,4.032209
36.4,65,4.14321
-52.25,74,4.289214
-15.2,78,4.42721
-41.85,79,4.570223
-16.3,101,4.75698
36.75,84,4.908983
21.0,74,5.036987
-73.05,71,5.167982
-103.8,69,5.299983
-22.6,86,5.446981
-114.3,90,5.598982
-155.6,94,5.795983
-88.0,77,5.940983
-66.95,72,6.076987
-20.6,62,6.198983
-85.45,85,6.366984
-131.5,71,6.510983
-25.2,87,6.68398
-97.3,89,6.836977
-157.85,84,7.009984
-39.6,72,7.137983
25.45,64,7.259978
-131.55,92,7.426982
-61.5,78,7.595986
-154.9,80,7.772246
-44.6,75,7.898252
-40.0,71,8.034248
14.35,68,8.151253
35.1,59,8.263246
-86.3,92,8.453249
-67.95,75,8.591249
-128.25,81,8.723249
-33.2,76,8.862247
42.4,81,9.021248
100.7,93,9.179248
34.0,76,9.316249
-63.9,75,9.451249
4.7,67,9.59225
-61.0,102,9.781254
-51.3,85,9.927249
46.05,85,10.079249
-102.65,104,10.262249
-86.0,95,10.442248
27.15,67,10.571253
-139.3,84,10.717387
39.5,87,10.865388
-18.25,78,11.011392
-52.65,72,11.147382
-45.5,82,11.314387
111.75,78,11.578387
-96.9,83,11.727387
20.75,79,11.865387
48.35,99,12.027392
-115.5,72,12.170387
-106.0,110,12.390386
74.4,74,12.516387
65.8,86,12.672386
-57.55,106,12.845387
-81.15,90,13.000387
6.45,68,13.119392
-80.2,75,13.27839
84.35,94,13.443389
-35.85,95,13.611388
78.5,112,13.828912
60.8,87,13.968911
43.05,81,14.117908
96.1,73,14.263913
130.0,86,14.419912
11.25,88,14.577916
-77.85,87,14.737913
-98.25,67,14.859912
4.8,94,15.027912
12.8,100,15.226914
0.2,69,15.356916
48.4,69,15.475912
147.25,74,15.616915
83.45,93,15.77291
82.55,64,15.904909
-17.2,82,16.064914
132.45,92,16.233908
99.85,77,16.371911
58.8,80,16.520916
140.1,77,16.659952
193.7,80,16.797017
