#{"t_start": 1785072240.0409746, "env_id": "None"}
r,l,t
-157.5,66,0.135001
-197.55,76,0.243001
-192.55,72,0.366032
-214.05,76,0.900001
-126.35,84,1.044
-260.05,68,1.117001
-103.5,75,1.702001
-130.05,83,1.823009
-235.5,90,1.94952
-234.1,85,2.403521
-215.85,85,2.52952
-159.9,66,2.618521
-208.35,108,3.088533
-202.35,76,3.198516
-139.0,71,3.294522
-133.15,81,3.381521
-217.55,83,3.85552
-175.0,61,3.94752
-142.5,90,4.046552
-64.3,86,4.515529
-133.6,73,4.632527
-147.6,109,4.760667
-243.05,90,5.238664
-245.5,65,5.333662
-161.35,88,5.428661
-127.85,102,5.94366
-161.8,88,6.068663
-77.05,91,6.173663
-141.4,86,6.629663
-24.8,78,6.745662
-156.15,98,6.849663
-208.8,73,7.312662
-116.45,88,7.432673
-61.2,72,7.509663
30.0,90,7.980181
-60.2,84,8.102182
-15.35,99,8.203192
-59.05,78,8.662182
-86.2,82,8.780183
-53.95,101,8.895181
-27.8,66,9.33318
-97.9,99,9.4712
-130.55,85,9.567183
19.5,71,10.020182
-61.75,78,10.136184
-27.8,87,10.229181
28.5,92,10.705261
-27.6,75,10.827452
-65.9,79,10.912443
-7.85,78,11.368438
-7.65,73,11.476444
-35.75,95,11.589454
82.8,78,12.030442
-40.25,73,12.133441
51.1,92,12.243443
-38.55,82,12.829443
54.1,71,12.934439
62.4,81,13.042455
-75.9,85,13.144443
68.05,86,13.629456
16.1,81,13.735443
-158.25,85,13.827443
-14.5,74,14.280973
51.8,73,14.388974
147.35,75,14.468971
36.8,84,14.930969
65.9,67,15.028982
-41.85,92,15.138977
6.4,82,15.59197
-29.25,75,15.699969
-58.6,72,15.949972
-8.4,85,16.26797
38.1,92,16.929158
-82.9,63,17.014159
-11.55,66,17.08216
50.15,67,17.552159
4.7,65,17.650178
41.0,77,17.824157
-44.8,74,17.934159
14.05,93,18.410158
53.4,69,18.51116
-94.3,80,18.595169
35.45,65,19.030159
-36.8,106,19.176161
23.0,98,19.285161
40.15,71,19.765158
-43.8,73,19.876692
79.4,66,19.946681
4.85,56,20.353683
-71.7,89,20.484682
-20.75,73,20.603683
47.9,75,20.684693
-8.0,76,21.143681
-65.95,93,21.272681
14.75,90,21.363681
2.7,91,21.861681
-7.85,89,21.980692
58.05,85,22.069681
8.45,90,22.5547
53.0,96,22.674681
-8.95,59,22.747778
107.2,87,23.216833
50.0,77,23.330835
35.45,79,23.414835
184.0,67,23.849834
83.35,80,23.965834
13.1,64,24.041845
83.05,105,24.662835
103.0,86,24.786856
75.0,95,24.899836
19.05,104,25.382835
40.0,78,25.496847
68.95,83,25.614849
36.35,65,26.050354
57.85,87,26.178353
36.7,81,26.269354
51.15,77,26.712354
97.4,101,26.858354
1.4,67,26.936356
70.35,82,27.375353
31.45,78,27.491353
-8.0,73,27.590353
86.4,73,27.669354
89.0,93,28.149352
-15.15,81,28.259365
103.7,75,28.340354
74.15,91,28.826566
13.7,86,28.946585
91.35,90,29.092565
76.5,68,29.542563
58.55,72,29.653566
85.0,69,29.735566
87.4,87,30.183566
110.0,66,30.279561
201.85,83,30.384565
20.7,88,30.854565
42.1,72,30.969563
96.75,83,31.079564
147.05,75,31.158576
50.8,79,31.614564
141.95,72,31.725568
73.55,82,31.818576
-1.0,82,32.261095
120.05,80,32.378093
99.75,61,32.449093
94.0,64,32.518095
99.1,67,32.968094
77.95,93,33.097093
219.45,78,33.178094
116.4,75,33.644094
136.8,103,33.790093
101.45,78,33.871096
188.8,64,34.301093
157.45,86,34.428094
117.15,77,34.524093
179.65,95,35.139371
35.0,85,35.262372
42.65,77,35.347372
174.4,71,35.807383
141.05,76,35.927372
103.85,73,36.022373
122.8,95,36.126372
220.7,109,36.644374
129.7,85,36.749383
194.75,80,37.202372
189.7,66,37.299372
236.85,97,37.422373
170.75,83,37.869373
110.9,73,37.979895
170.6,68,38.072894
115.75,80,38.156895
163.35,88,38.648894
169.1,80,38.764908
172.4,118,39.2329
176.75,83,39.358896
127.75,83,39.462894
151.4,87,39.555895
134.3,109,40.062894
165.4,92,40.168895
150.6,79,40.620894
239.35,81,40.745895
146.5,102,40.872118
