#{"t_start": 1785074081.922688, "env_id": "None"}
r,l,t
-160.6,72,0.139001
-244.7,99,0.301
-248.45,79,0.409006
-150.45,82,0.544002
-305.45,98,0.692005
-132.85,76,0.810004
-221.1,99,0.981
-327.95,81,1.144006
-301.75,81,1.316
-259.75,102,1.504
-320.85,106,1.659
-166.6,85,1.847002
-210.55,88,2.028005
-240.5,80,2.144001
-148.45,104,2.302004
-202.15,79,2.423522
-180.5,78,2.538523
-142.45,82,2.662522
-259.85,73,2.779523
-294.4,81,2.893524
-80.85,79,3.012525
-173.55,98,3.15454
-289.15,77,3.267528
-347.5,101,3.450526
-185.55,68,3.561518
-167.1,72,3.673523
-119.45,88,3.810524
-169.75,89,3.938524
-184.85,75,4.062521
-86.5,71,4.193528
-254.35,86,4.320524
-156.45,76,4.430521
-187.4,100,4.594524
-119.0,105,4.748531
-248.6,87,4.871523
-225.55,78,4.987521
-46.75,97,5.137525
-229.3,88,5.27586
-298.15,71,5.381854
-63.55,79,5.496855
-158.0,90,5.686853
-131.45,93,5.91486
-277.85,97,6.116852
-259.1,97,6.419855
-322.7,83,6.547855
-160.25,84,6.776852
-234.05,77,6.973857
-181.7,83,7.18086
-126.7,88,7.386857
-301.5,79,7.525855
-163.2,76,7.640858
-171.85,83,7.785859
-199.55,74,7.913857
-225.1,78,8.04685
-178.9,86,8.169853
-131.7,75,8.293861
-256.45,83,8.419379
-86.9,75,8.542377
-117.95,82,8.668382
-313.25,75,8.783381
-247.35,83,8.909383
-186.05,77,9.024382
-78.75,87,9.150381
-294.75,86,9.282381
-195.8,78,9.399373
-280.05,72,9.509379
-133.25,78,9.625381
-294.35,75,9.735377
-192.05,88,9.871379
-212.0,93,9.998375
-250.05,67,10.095373
-167.8,75,10.228373
-232.3,74,10.350386
-260.05,81,10.481377
-18.15,100,10.631382
-266.65,69,10.734381
-223.2,60,10.84138
-153.0,76,10.96138
-370.65,91,11.102377
-66.8,79,11.226347
-189.85,81,11.356023
-141.1,80,11.481027
-111.55,78,11.605021
-192.1,75,11.714023
-160.6,96,11.845023
-180.6,74,11.954021
-113.55,75,12.059024
-189.8,98,12.219018
-269.15,89,12.35702
-265.1,74,12.466019
-265.3,87,12.60402
-107.5,95,12.731019
-197.1,96,12.867023
-182.1,76,12.976024
-197.25,74,13.085023
-169.5,79,13.202024
-171.8,93,13.354024
-22.0,77,13.467017
-149.9,89,13.607024
-201.75,70,13.705019
-254.7,81,13.831024
-147.45,82,13.948022
-173.5,77,14.080028
-253.9,82,14.210021
-160.5,91,14.349022
-111.3,87,14.467548
-233.8,70,14.576549
-90.05,76,14.682547
-27.25,95,14.818549
-94.6,75,14.936548
-135.2,95,15.084551
-163.45,80,15.211548
-139.1,89,15.345551
-60.55,80,15.555551
-224.7,98,15.714545
-197.85,111,15.877548
-193.55,84,16.006546
-3.2,78,16.121552
-83.95,69,16.234547
-60.05,79,16.363547
-221.75,66,16.475546
-139.6,88,16.616547
-88.55,89,16.748575
-208.65,92,16.886547
-69.05,84,17.007545
-161.35,79,17.121546
-176.45,81,17.267831
-225.7,74,17.381908
-123.9,73,17.480892
-201.35,89,17.615908
-117.25,75,17.726887
-46.8,91,17.863889
-206.8,77,17.986906
-134.85,75,18.102895
-231.35,88,18.243889
-201.9,101,18.39089
-348.0,106,18.53589
-33.05,75,18.659891
-56.75,71,18.760886
6.2,98,18.90589
-189.9,85,19.027889
-49.05,87,19.150889
-102.4,85,19.284888
-131.8,71,19.391891
-210.7,82,19.53789
-118.35,68,19.651889
-79.2,109,19.807889
-139.3,73,19.919887
-144.55,66,20.024892
-103.9,97,20.167889
-86.6,97,20.340889
-95.9,85,20.470424
-25.05,85,20.587421
-106.7,78,20.70042
-153.6,73,20.81642
-71.4,75,20.92742
-169.4,78,21.06242
-73.4,75,21.18642
-104.1,90,21.326421
-182.35,80,21.45542
